"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"65109","external_page_harvard.html","external-html","0","65211","0.0-0.0","A2IJGSO19TDI2T","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1358","","image-button-response","1","66570","0.0-1.0","A2IJGSO19TDI2T","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1566","","image-button-response","2","68141","0.0-2.0-0.0","A2IJGSO19TDI2T","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5037","","survey-text","3","73179","0.0-3.0-0.0","A2IJGSO19TDI2T","","","","{""Q0"":""A2IJGSO19TDI2T""}","","","","","","","","","","","","","","","","","","","","","","",""
"3319","","image-button-response_instructions","4","76500","0.0-4.0","A2IJGSO19TDI2T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5418","","image-button-response_instructions","5","81918","0.0-5.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3326","","image-button-response_instructions","6","85246","0.0-6.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5222","","image-button-response_instructions","7","90470","0.0-7.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4488","","image-button-response_instructions","8","94960","0.0-8.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4610","","image-button-response_instructions","9","99572","0.0-9.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3094","","image-button-response_instructions","10","102668","0.0-10.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4628","","image-button-response_instructions","11","107297","0.0-11.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4525","","image-button-response_instructions","12","111824","0.0-12.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8722","","image-button-response_instructions","13","120548","0.0-13.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3164","","image-button-response_instructions","14","123713","0.0-14.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3219","","image-button-response_instructions","15","126934","0.0-15.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5765","","image-button-response_instructions","16","132700","0.0-16.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3836","","image-button-response_instructions","17","136537","0.0-17.0","A2IJGSO19TDI2T","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1199","","image-button-response_instructions","18","137737","0.0-18.0","A2IJGSO19TDI2T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5469","","survey-text","19","143226","0.0-19.0-0.0","A2IJGSO19TDI2T","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18162","","survey-text","20","161390","0.0-20.0-0.0","A2IJGSO19TDI2T","","","","{""Q0"":""feels like a kindergartener piece""}","","","","","","","","","","","","","","","","","","","","","","",""
"4522.399999976158","","image-slider-response","21","165915","0.0-21.0","A2IJGSO19TDI2T","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","170926","0.0-22.0","A2IJGSO19TDI2T","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"16614","","image-button-response","23","187541","0.0-23.0","A2IJGSO19TDI2T","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4977","","image-button-response","24","192520","0.0-24.0-0.0","A2IJGSO19TDI2T","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3404","","image-button-response","25","195926","0.0-25.0-0.0","A2IJGSO19TDI2T","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3289","","image-button-response","26","203000","0.0-25.1-0.1","A2IJGSO19TDI2T","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","204010","0.0-26.0","A2IJGSO19TDI2T","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","13","feels like a kindergartener piece","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","2"
"34177","","survey-text","28","238193","0.0-27.0-0.0","A2IJGSO19TDI2T","","","","{""Q0"":""Mustard, ketchup, mayonnaise - a condiment explosion!""}","","","","","","","","","","","","","","","","","","","","","","",""
"2961.900000035763","","image-slider-response","29","241157","0.0-28.0","A2IJGSO19TDI2T","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","246162","0.0-29.0","A2IJGSO19TDI2T","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1718","","image-button-response","31","247883","0.0-30.0","A2IJGSO19TDI2T","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2591","","image-button-response","32","250476","0.0-31.0-0.0","A2IJGSO19TDI2T","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"935","","image-button-response","33","251414","0.0-32.0-0.0","A2IJGSO19TDI2T","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","252419","0.0-33.0","A2IJGSO19TDI2T","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","31","Mustard, ketchup, mayonnaise - a condiment explosion!","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Daniel","One of my pet peevs,-48,100,20","James","looks too angry,-50,140,20","2"
"21220","","survey-text","35","273645","0.0-34.0-0.0","A2IJGSO19TDI2T","","","","{""Q0"":""Very simplistic - swipes with more swipes. Meh""}","","","","","","","","","","","","","","","","","","","","","","",""
"3967.7000000476837","","image-slider-response","36","277615","0.0-35.0","A2IJGSO19TDI2T","","","","","-27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","282632","0.0-36.0","A2IJGSO19TDI2T","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1884","","image-button-response","38","284520","0.0-37.0","A2IJGSO19TDI2T","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"732","","image-button-response","39","285255","0.0-38.0-0.0","A2IJGSO19TDI2T","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"802","","image-button-response","40","286060","0.0-39.0-0.0","A2IJGSO19TDI2T","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
