"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"38623","external_page_harvard.html","external-html","0","38699","0.0-0.0","A56TWAXG8WGWM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2049","","image-button-response","1","40750","0.0-1.0","A56TWAXG8WGWM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2488","","image-button-response","2","43246","0.0-2.0-0.0","A56TWAXG8WGWM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3978","","survey-text","3","47225","0.0-3.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""A56TWAXG8WGWM""}","","","","","","","","","","","","","","","","","","","","","","",""
"8215","","image-button-response_instructions","4","55443","0.0-4.0","A56TWAXG8WGWM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14282","","image-button-response_instructions","5","69727","0.0-5.0","A56TWAXG8WGWM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6295","","image-button-response_instructions","6","76024","0.0-6.0","A56TWAXG8WGWM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5093","","image-button-response_instructions","7","81119","0.0-7.0","A56TWAXG8WGWM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17468","","image-button-response_instructions","8","98588","0.0-8.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3983","","image-button-response_instructions","9","102572","0.0-9.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4024","","image-button-response_instructions","10","106599","0.0-10.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3799","","image-button-response_instructions","11","110400","0.0-11.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10626","","image-button-response_instructions","12","121027","0.0-12.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16035","","image-button-response_instructions","13","137063","0.0-13.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8587","","image-button-response_instructions","14","145651","0.0-14.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20768","","image-button-response_instructions","15","166421","0.0-15.0","A56TWAXG8WGWM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14466","","image-button-response_instructions","16","180890","0.0-16.0","A56TWAXG8WGWM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3812","","image-button-response_instructions","17","184704","0.0-17.0","A56TWAXG8WGWM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2094","","image-button-response_instructions","18","186801","0.0-18.0","A56TWAXG8WGWM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12322","","survey-text","19","199152","0.0-19.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"29495","","survey-text","20","228649","0.0-20.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""It looks like a kid that just did different color brush strokes""}","","","","","","","","","","","","","","","","","","","","","","",""
"4602.600000008941","","image-slider-response","21","233255","0.0-21.0","A56TWAXG8WGWM","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","238260","0.0-22.0","A56TWAXG8WGWM","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5649","","image-button-response","23","243912","0.0-23.0","A56TWAXG8WGWM","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","","image-button-response","24","245448","0.0-24.0-0.0","A56TWAXG8WGWM","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4698","","image-button-response","25","250150","0.0-25.0-0.0","A56TWAXG8WGWM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","251658","0.0-26.0","A56TWAXG8WGWM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-23","It looks like a kid that just did different color brush strokes","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"22114","","survey-text","27","273780","0.0-27.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""A mixture of color which does not portray anything""}","","","","","","","","","","","","","","","","","","","","","","",""
"3140.1000000089407","","image-slider-response","28","276922","0.0-28.0","A56TWAXG8WGWM","","","","","-37","","","","","","","","","","","","","","","","","","","","","",""
"4788","","image-button-response","29","281926","0.0-29.0","A56TWAXG8WGWM","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"795","","image-button-response","30","282723","0.0-30.0","A56TWAXG8WGWM","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2807","","image-button-response","31","285533","0.0-31.0-0.0","A56TWAXG8WGWM","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5252","","image-button-response","32","290788","0.0-32.0-0.0","A56TWAXG8WGWM","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","292292","0.0-33.0","A56TWAXG8WGWM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-37","A mixture of color which does not portray anything","Allison,Ashley,Jenna,Dora,Kara,Katie","I don't have strong feelings about this,10,20,20","Idk, it is just annoying,-32,40,20","One of my pet peevs,-48,140,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Allison","I don't have strong feelings about this,10,20,20","Ashley","Idk, it is just annoying,-32,40,20","Katie","too much color!,-28,180,20","0"
"20729","","survey-text","34","313029","0.0-34.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""I am not into these kind of art""}","","","","","","","","","","","","","","","","","","","","","","",""
"3658.2000000029802","","image-slider-response","35","316689","0.0-35.0","A56TWAXG8WGWM","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"2776","","image-button-response","36","321697","0.0-36.0","A56TWAXG8WGWM","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4218","","image-button-response","37","325918","0.0-37.0","A56TWAXG8WGWM","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","","image-button-response","38","327454","0.0-38.0-0.0","A56TWAXG8WGWM","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1103","","image-button-response","39","328560","0.0-39.0-0.0","A56TWAXG8WGWM","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","329063","0.0-40.0","A56TWAXG8WGWM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","-50","I am not into these kind of art","Allison,Ashley,Rose,Leslie,Mary,Katie","enjoy the different shades of blue,22,20,20","It looks like a playground for bats,-36,40,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","It looks depressing,-26,180,20","Katie","It looks depressing,-26,180,20","Allison","enjoy the different shades of blue,22,20,20","Ashley","It looks like a playground for bats,-36,40,20","0"
"6376","","image-button-response_instructions","41","335448","0.0-41.0","A56TWAXG8WGWM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17126","","survey-likert","42","352578","0.0-42.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4230","","survey-text","43","356816","0.0-43.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"29700","","survey-text","44","386518","0.0-44.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""A couple of paint color squirted on the canvas""}","","","","","","","","","","","","","","","","","","","","","","",""
"3441.2000000029802","","image-slider-response","45","389961","0.0-45.0","A56TWAXG8WGWM","","","","","-48","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","394986","0.0-46.0","A56TWAXG8WGWM","img_art/13.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5240","","image-button-response","47","400229","0.0-47.0","A56TWAXG8WGWM","img_art/13.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4554","","image-button-response","48","404786","0.0-48.0-0.0","A56TWAXG8WGWM","img_art/13.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2085","","image-button-response","49","406875","0.0-49.0-0.0","A56TWAXG8WGWM","img_art/13.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","408379","0.0-50.0","A56TWAXG8WGWM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/13.jpg","-48","A couple of paint color squirted on the canvas","Amanda,Angelica,Elizabeth,Kimberly,Crystal,Cassandra","Feels calm and could be placed in anyones house,43,180,20","It's too violent looking and there's too much contrast between the white/black.,-21,280,20","Love the splash of colors,50,20,20","It's like a pattern on a bus seat,10,260,20","Reminiscent of Jackson Pollock and gives me a feeling of chaotic satisfaction,50,300,20","I love the colors and the texture,37,120,20","Crystal","Reminiscent of Jackson Pollock and gives me a feeling of chaotic satisfaction,50,300,20","Angelica","It's too violent looking and there's too much contrast between the white/black.,-21,280,20","Kimberly","It's like a pattern on a bus seat,10,260,20","0"
"24528","","survey-text","51","432913","0.0-51.0-0.0","A56TWAXG8WGWM","","","","{""Q0"":""Looks like a modern art however very hard to derive something out of it.""}","","","","","","","","","","","","","","","","","","","","","","",""
