"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3651","external_page_harvard.html","external-html","0","3759","0.0-0.0","A292T1OXCVXN78","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"982","","image-button-response","1","4741","0.0-1.0","A292T1OXCVXN78","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1126","","image-button-response","2","5869","0.0-2.0-0.0","A292T1OXCVXN78","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6216","","survey-text","3","12085","0.0-3.0-0.0","A292T1OXCVXN78","","","","{""Q0"":""A292T1OXCVXN78""}","","","","","","","","","","","","","","","","","","","","","","",""
"2463","","image-button-response_instructions","4","14549","0.0-4.0","A292T1OXCVXN78","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11039","","image-button-response_instructions","5","25589","0.0-5.0","A292T1OXCVXN78","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3312","","image-button-response_instructions","6","28901","0.0-6.0","A292T1OXCVXN78","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","","image-button-response_instructions","7","30349","0.0-7.0","A292T1OXCVXN78","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3055","","image-button-response_instructions","8","33405","0.0-8.0","A292T1OXCVXN78","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2392","","image-button-response_instructions","9","35797","0.0-9.0","A292T1OXCVXN78","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1840","","image-button-response_instructions","10","37637","0.0-10.0","A292T1OXCVXN78","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2008","","image-button-response_instructions","11","39645","0.0-11.0","A292T1OXCVXN78","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4600","","image-button-response_instructions","12","44245","0.0-12.0","A292T1OXCVXN78","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16062","","image-button-response_instructions","13","60308","0.0-13.0","A292T1OXCVXN78","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9199","","image-button-response_instructions","14","69508","0.0-14.0","A292T1OXCVXN78","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1759","","image-button-response_instructions","15","71268","0.0-15.0","A292T1OXCVXN78","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4735","","image-button-response_instructions","16","76004","0.0-16.0","A292T1OXCVXN78","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3200","","image-button-response_instructions","17","79204","0.0-17.0","A292T1OXCVXN78","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1159","","image-button-response_instructions","18","80364","0.0-18.0","A292T1OXCVXN78","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4569","","survey-text","19","84948","0.0-19.0-0.0","A292T1OXCVXN78","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12751","","survey-text","20","97700","0.0-20.0-0.0","A292T1OXCVXN78","","","","{""Q0"":""it looks like random colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"2694.7999999523163","","image-slider-response","21","100397","0.0-21.0","A292T1OXCVXN78","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","105399","0.0-22.0","A292T1OXCVXN78","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2996","","image-button-response","23","108397","0.0-23.0","A292T1OXCVXN78","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1247","","image-button-response","24","109645","0.0-24.0-0.0","A292T1OXCVXN78","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2254","","image-button-response","25","111900","0.0-25.0-0.0","A292T1OXCVXN78","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3079","","image-button-response","26","117749","0.0-25.1-0.1","A292T1OXCVXN78","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","119250","0.0-26.0","A292T1OXCVXN78","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-28","it looks like random colors","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","2"
"15865","","survey-text","28","135117","0.0-27.0-0.0","A292T1OXCVXN78","","","","{""Q0"":""I kind of like the thick layers""}","","","","","","","","","","","","","","","","","","","","","","",""
"1790.5","","image-slider-response","29","136909","0.0-28.0","A292T1OXCVXN78","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"3704","","image-button-response","30","141910","0.0-29.0","A292T1OXCVXN78","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"775","","image-button-response","31","142685","0.0-30.0","A292T1OXCVXN78","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"799","","image-button-response","32","143485","0.0-31.0-0.0","A292T1OXCVXN78","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
