"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"53137","external_page_harvard.html","external-html","0","53291","0.0-0.0","A3Z014JO91RTM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2076","","image-button-response","1","55372","0.0-1.0","A3Z014JO91RTM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2357","","image-button-response","2","57736","0.0-2.0-0.0","A3Z014JO91RTM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4182","","survey-text","3","61922","0.0-3.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""A3Z014JO91RTM""}","","","","","","","","","","","","","","","","","","","","","","",""
"5994","","image-button-response_instructions","4","67920","0.0-4.0","A3Z014JO91RTM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14481","","image-button-response_instructions","5","82403","0.0-5.0","A3Z014JO91RTM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7432","","image-button-response_instructions","6","89837","0.0-6.0","A3Z014JO91RTM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11115","","image-button-response_instructions","7","100956","0.0-7.0","A3Z014JO91RTM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12468","","image-button-response_instructions","8","113427","0.0-8.0","A3Z014JO91RTM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6414","","image-button-response_instructions","9","119843","0.0-9.0","A3Z014JO91RTM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4616","","image-button-response_instructions","10","124461","0.0-10.0","A3Z014JO91RTM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2748","","image-button-response_instructions","11","127211","0.0-11.0","A3Z014JO91RTM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12465","","image-button-response_instructions","12","139678","0.0-12.0","A3Z014JO91RTM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"73685","","image-button-response_instructions","13","213366","0.0-13.0","A3Z014JO91RTM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13583","","image-button-response_instructions","14","226950","0.0-14.0","A3Z014JO91RTM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7048","","image-button-response_instructions","15","234001","0.0-15.0","A3Z014JO91RTM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10818","","image-button-response_instructions","16","244823","0.0-16.0","A3Z014JO91RTM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3911","","image-button-response_instructions","17","248736","0.0-17.0","A3Z014JO91RTM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2634","","image-button-response_instructions","18","251372","0.0-18.0","A3Z014JO91RTM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8774","","survey-text","19","260174","0.0-19.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"43666","","survey-text","20","303843","0.0-20.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""whimsical flowing ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3626.699999988079","","image-slider-response","21","307474","0.0-21.0","A3Z014JO91RTM","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"3946","","image-button-response","22","312479","0.0-22.0","A3Z014JO91RTM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"808","","image-button-response","23","313291","0.0-23.0","A3Z014JO91RTM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2046","","image-button-response","24","315342","0.0-24.0-0.0","A3Z014JO91RTM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9295","","image-button-response","25","330010","0.0-24.1-0.1","A3Z014JO91RTM","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7829","","image-button-response","26","337845","0.0-25.0-0.0","A3Z014JO91RTM","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","338854","0.0-26.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","6","whimsical flowing ","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","2"
"5969","","survey-text","28","344831","0.0-27.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""angry dark""}","","","","","","","","","","","","","","","","","","","","","","",""
"2608.800000011921","","image-slider-response","29","347443","0.0-28.0","A3Z014JO91RTM","","","","","-26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","352451","0.0-29.0","A3Z014JO91RTM","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2258","","image-button-response","31","354712","0.0-30.0","A3Z014JO91RTM","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3064","","image-button-response","32","357779","0.0-31.0-0.0","A3Z014JO91RTM","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"6163","","image-button-response","33","363946","0.0-32.0-0.0","A3Z014JO91RTM","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","364450","0.0-33.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-26","angry dark","Allison,Jenna,Katie,Dora,Kara,Jen","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Dora","looks too angry,-50,80,20","Jenna","One of my pet peevs,-48,140,20","2"
"4821","","survey-text","35","369279","0.0-34.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""sad cold""}","","","","","","","","","","","","","","","","","","","","","","",""
"4480.5","","image-slider-response","36","373763","0.0-35.0","A3Z014JO91RTM","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","378768","0.0-36.0","A3Z014JO91RTM","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3025","","image-button-response","38","381798","0.0-37.0","A3Z014JO91RTM","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4747","","image-button-response","39","386549","0.0-38.0-0.0","A3Z014JO91RTM","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1746","","image-button-response","40","388298","0.0-39.0-0.0","A3Z014JO91RTM","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","389301","0.0-40.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","6","sad cold","Leslie,Jenna,Rose,Dora,Mary,Jen","It's an alright work,15,200,20","looks like a murder room,-35,140,20","My daily routine, it's depressing,-20,240,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","I can feel a rainy day from this painting,18,120,20","Rose","My daily routine, it's depressing,-20,240,20","Jen","I can feel a rainy day from this painting,18,120,20","Leslie","It's an alright work,15,200,20","2"
"76416","","image-button-response_instructions","42","465724","0.0-41.0","A3Z014JO91RTM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10047","","survey-likert","43","475773","0.0-42.0-0.0","A3Z014JO91RTM","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"27262","","survey-text","44","503043","0.0-43.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"11547","","survey-text","45","514593","0.0-44.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""confusing and unorganized""}","","","","","","","","","","","","","","","","","","","","","","",""
"3113.599999964237","","image-slider-response","46","517710","0.0-45.0","A3Z014JO91RTM","","","","","-27","","","","","","","","","","","","","","","","","","","","","",""
"3273","","image-button-response","47","522740","0.0-46.0","A3Z014JO91RTM","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1068","","image-button-response","48","523811","0.0-47.0","A3Z014JO91RTM","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13014","","image-button-response","49","536829","0.0-48.0-0.0","A3Z014JO91RTM","img_art/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","image-button-response","50","538312","0.0-49.0-0.0","A3Z014JO91RTM","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5614","","image-button-response","51","546213","0.0-49.1-0.1","A3Z014JO91RTM","img_art/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","546716","0.0-50.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/1.jpg","-27","confusing and unorganized","Michelle,Hailey,Alexis,Marissa,Diana,Cassidy","Random paint does not make art,-5,280,20","colors that are fairly warm. its ok,8,200,20","Taco Bell wallpaper. Doesn't really make me feel anything,3,100,20","It is beautiful, I really enjoy the colors,32,160,20","Might be a person rowing their boat across the lake. Not sure if the background is trees or not.,12,380,20","I like the colors and layers,25,140,20","Michelle","Random paint does not make art,-5,280,20","Hailey","colors that are fairly warm. its ok,8,200,20","Alexis","Taco Bell wallpaper. Doesn't really make me feel anything,3,100,20","4"
"10836","","survey-text","53","557562","0.0-51.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""angry and intense""}","","","","","","","","","","","","","","","","","","","","","","",""
"4332.900000035763","","image-slider-response","54","561897","0.0-52.0","A3Z014JO91RTM","","","","","-27","","","","","","","","","","","","","","","","","","","","","",""
"3797","","image-button-response","55","566901","0.0-53.0","A3Z014JO91RTM","img_art/30.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"826","","image-button-response","56","567731","0.0-54.0","A3Z014JO91RTM","img_art/30.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3081","","image-button-response","57","570815","0.0-55.0-0.0","A3Z014JO91RTM","img_art/30.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","","image-button-response","58","572432","0.0-56.0-0.0","A3Z014JO91RTM","img_art/30.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","572935","0.0-57.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/30.jpg","-27","angry and intense","Michelle,Hailey,Alexis,Danielle,Erin,Vanessa","Don't like it at all, looks like a someone smeared paint with their fingers,-25,280,20","snakes in the grass, I don't like it,-17,200,20","Too abstract, looks like something I could paint,-50,100,20","It's okay. It should either have stuck to the grey-blue, or added more red. Seems unorganized (maybe that's the point?),-9,340,20","Layers are interesting,22,120,20","I like the red against the blue, but otherwise, it's not really my taste,4,380,20","Michelle","Don't like it at all, looks like a someone smeared paint with their fingers,-25,280,20","Hailey","snakes in the grass, I don't like it,-17,200,20","Alexis","Too abstract, looks like something I could paint,-50,100,20","4"
"10074","","survey-text","60","583016","0.0-58.0-0.0","A3Z014JO91RTM","","","","{""Q0"":""light and simple""}","","","","","","","","","","","","","","","","","","","","","","",""
"2429.900000035763","","image-slider-response","61","585449","0.0-59.0","A3Z014JO91RTM","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"3647","","image-button-response","62","590458","0.0-60.0","A3Z014JO91RTM","img_art/26.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"806","","image-button-response","63","591267","0.0-61.0","A3Z014JO91RTM","img_art/26.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5147","","image-button-response","64","596418","0.0-62.0-0.0","A3Z014JO91RTM","img_art/26.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2895","","image-button-response","65","599318","0.0-63.0-0.0","A3Z014JO91RTM","img_art/26.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","66","600320","0.0-64.0","A3Z014JO91RTM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/26.jpg","4","light and simple","Michelle,Hailey,Alexis,Victoria,Alyssa,Jamie","I can make out a street view and I am a fan of watercolors but still too boring,15,280,20","bedroom in the outdoors. warm,9,200,20","Much too simple and without color for my taste,-33,100,20","feels a tad old,30,400,20","Its pretty.And a nice use of water colors.,25,160,20","Street corner on a sunny day,5,320,20","Michelle","I can make out a street view and I am a fan of watercolors but still too boring,15,280,20","Jamie","Street corner on a sunny day,5,320,20","Victoria","feels a tad old,30,400,20","4"
