"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"54840","external_page_harvard.html","external-html","0","54904","0.0-0.0","A336V7IY38Q2WN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","image-button-response","1","56362","0.0-1.0","A336V7IY38Q2WN","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2146","","image-button-response","2","58518","0.0-2.0-0.0","A336V7IY38Q2WN","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5793","","survey-text","3","64314","0.0-3.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""A336V7IY38Q2WN""}","","","","","","","","","","","","","","","","","","","","","","",""
"10419","","image-button-response_instructions","4","74738","0.0-4.0","A336V7IY38Q2WN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14263","","image-button-response_instructions","5","89005","0.0-5.0","A336V7IY38Q2WN","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"217261","","image-button-response_instructions","6","306268","0.0-6.0","A336V7IY38Q2WN","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1407689","","image-button-response_instructions","7","1713961","0.0-7.0","A336V7IY38Q2WN","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12838","","image-button-response_instructions","8","1726804","0.0-8.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2049","","image-button-response_instructions","9","1728857","0.0-9.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4625","","image-button-response_instructions","10","1733484","0.0-10.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3934","","image-button-response_instructions","11","1737419","0.0-11.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1455931","","image-button-response_instructions","12","3193352","0.0-12.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"44008","","image-button-response_instructions","13","3237365","0.0-13.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6812","","image-button-response_instructions","14","3244180","0.0-14.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6237","","image-button-response_instructions","15","3250421","0.0-15.0","A336V7IY38Q2WN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10021","","image-button-response_instructions","16","3260445","0.0-16.0","A336V7IY38Q2WN","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7625","","image-button-response_instructions","17","3268072","0.0-17.0","A336V7IY38Q2WN","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2258","","image-button-response_instructions","18","3270331","0.0-18.0","A336V7IY38Q2WN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6029","","survey-text","19","3276400","0.0-19.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15359","","survey-text","20","3291762","0.0-20.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is frenetic and the colors clash""}","","","","","","","","","","","","","","","","","","","","","","",""
"3449","","image-slider-response","21","3295215","0.0-21.0","A336V7IY38Q2WN","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","3300227","0.0-22.0","A336V7IY38Q2WN","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"566","","image-button-response","23","3300795","0.0-23.0","A336V7IY38Q2WN","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"7437","","image-button-response","24","3308235","0.0-24.0-0.0","A336V7IY38Q2WN","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1460","","image-button-response","25","3309699","0.0-25.0-0.0","A336V7IY38Q2WN","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","3310706","0.0-26.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-25","this piece is frenetic and the colors clash","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"18199","","survey-text","27","3328914","0.0-27.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is structured ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2795","","image-slider-response","28","3331713","0.0-28.0","A336V7IY38Q2WN","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"1857","","image-button-response","29","3336715","0.0-29.0","A336V7IY38Q2WN","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2952","","image-button-response","30","3339669","0.0-30.0","A336V7IY38Q2WN","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"8128","","image-button-response","31","3347801","0.0-31.0-0.0","A336V7IY38Q2WN","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"997","","image-button-response","32","3348801","0.0-32.0-0.0","A336V7IY38Q2WN","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","3349305","0.0-33.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","11","this piece is structured ","Adam,John,Kyle,James,Daniel,Jack","too much color,-18,20,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","James","looks too angry,-50,140,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"23844","","survey-text","34","3373156","0.0-34.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""This piece is cold and seems like an attack""}","","","","","","","","","","","","","","","","","","","","","","",""
"7552","","image-slider-response","35","3380712","0.0-35.0","A336V7IY38Q2WN","","","","","0","","","","","","","","","","","","","","","","","","","","","",""
"4738","","image-button-response","36","3385716","0.0-36.0","A336V7IY38Q2WN","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"794","","image-button-response","37","3386512","0.0-37.0","A336V7IY38Q2WN","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2953","","image-button-response","38","3389468","0.0-38.0-0.0","A336V7IY38Q2WN","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1189","","image-button-response","39","3390660","0.0-39.0-0.0","A336V7IY38Q2WN","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1227","","image-button-response","40","3397036","0.0-39.1-0.1","A336V7IY38Q2WN","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5044","","image-button-response","41","3406139","0.0-39.2-0.2","A336V7IY38Q2WN","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","3407144","0.0-40.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","0","This piece is cold and seems like an attack","Sam,John,Mike,James,Ron,Jack","I can feel a rainy day from this painting,18,240,20","I like the overlapping of brushes,41,160,20","enjoy the different shades of blue,22,200,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","I feel connected to the artist,40,120,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","Ron","It looks depressing,-26,220,20","4"
"9103","","image-button-response_instructions","43","3416254","0.0-41.0","A336V7IY38Q2WN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13418","","survey-likert","44","3429676","0.0-42.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4186","","survey-text","45","3433870","0.0-43.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"11273","","survey-text","46","3445146","0.0-44.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is very busy""}","","","","","","","","","","","","","","","","","","","","","","",""
"4811","","image-slider-response","47","3449961","0.0-45.0","A336V7IY38Q2WN","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"3684","","image-button-response","48","3454990","0.0-46.0","A336V7IY38Q2WN","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1769","","image-button-response","49","3456761","0.0-47.0","A336V7IY38Q2WN","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3554","","image-button-response","50","3460317","0.0-48.0-0.0","A336V7IY38Q2WN","img_art/23.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2052","","image-button-response","51","3462373","0.0-49.0-0.0","A336V7IY38Q2WN","img_art/23.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","3462880","0.0-50.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/23.jpg","10","this piece is very busy","Cameron,Patrick,Travis,Bryce,Adrian,Jordan","looks like those paper chain things.,0,60,20","Beautiful color scheme,21,280,20","I had a very neutral feeling to this,no feelings at all.,1,260,20","So beautiful with the white accents.,50,20,20","Too much contrasting colors together. I hate it.,-50,60,20","I like the contrast,29,160,20","Patrick","Beautiful color scheme,21,280,20","Jordan","I like the contrast,29,160,20","Bryce","So beautiful with the white accents.,50,20,20","4"
"15191","","survey-text","53","3478077","0.0-51.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this almost looks like a close photograph""}","","","","","","","","","","","","","","","","","","","","","","",""
"2145","","image-slider-response","54","3480225","0.0-52.0","A336V7IY38Q2WN","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"4893","","image-button-response","55","3485233","0.0-53.0","A336V7IY38Q2WN","img_art/7.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1142","","image-button-response","56","3486377","0.0-54.0","A336V7IY38Q2WN","img_art/7.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4157","","image-button-response","57","3490536","0.0-55.0-0.0","A336V7IY38Q2WN","img_art/7.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3629","","image-button-response","58","3494168","0.0-56.0-0.0","A336V7IY38Q2WN","img_art/7.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","3495172","0.0-57.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/7.jpg","26","this almost looks like a close photograph","Cody,Patrick,Tristan,Bryce,Malik,Jordan","Cool, makes me think of archeology,15,180,20","It feels cold and hard,-40,280,20","Limited emotional reaction for me. No focus and highly abstract,-20,300,20","I love the texture.,20,20,20","Detail oriented, like cracked paint wall,15,40,20","Looks like a skin disease,-31,160,20","Cody","Cool, makes me think of archeology,15,180,20","Malik","Detail oriented, like cracked paint wall,15,40,20","Bryce","I love the texture.,20,20,20","4"
"13957","","survey-text","60","3509135","0.0-58.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece makes me think of jazz""}","","","","","","","","","","","","","","","","","","","","","","",""
"1980","","image-slider-response","61","3511119","0.0-59.0","A336V7IY38Q2WN","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"2729","","image-button-response","62","3516122","0.0-60.0","A336V7IY38Q2WN","img_art/22.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"923","","image-button-response","63","3517048","0.0-61.0","A336V7IY38Q2WN","img_art/22.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3218","","image-button-response","64","3520267","0.0-62.0-0.0","A336V7IY38Q2WN","img_art/22.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2530","","image-button-response","65","3522800","0.0-63.0-0.0","A336V7IY38Q2WN","img_art/22.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","66","3524303","0.0-64.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","3","img_art/22.jpg","20","this piece makes me think of jazz","Cody,Noah,Nathaniel,Bryce,Malik,Charles","Love the use of color,50,180,20","displeasure - not a fan of the colour or the shapes,-18,260,20","Looks like a giant blob,-45,220,20","So colorful i love it!,22,20,20","Beautiful forms, using color to define shape,14,40,20","I like the key near the sphere in the center,19,100,20","Cody","Love the use of color,50,180,20","Malik","Beautiful forms, using color to define shape,14,40,20","Charles","I like the key near the sphere in the center,19,100,20","4"
"11333","","survey-text","67","3535643","0.0-65.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is talkative""}","","","","","","","","","","","","","","","","","","","","","","",""
"2337","","image-slider-response","68","3537983","0.0-66.0","A336V7IY38Q2WN","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","69","3542993","0.0-67.0","A336V7IY38Q2WN","img_art/9.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1680","","image-button-response","70","3544674","0.0-68.0","A336V7IY38Q2WN","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4282","","image-button-response","71","3548958","0.0-69.0-0.0","A336V7IY38Q2WN","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1062","","image-button-response","72","3550023","0.0-70.0-0.0","A336V7IY38Q2WN","img_art/9.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","73","3550531","0.0-71.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","4","img_art/9.jpg","10","this piece is talkative","Cody,Nicholas,Blake,Jason,Malik,Charles","Feels angry .....,-40,180,20","Some nice colors but i do not like it,-18,240,20","looks like a woman in bed and its ok,8,280,20","Focal point is interesting,2,20,20","Colorful and expressive,15,40,20","It's too all over the place,-37,100,20","Malik","Colorful and expressive,15,40,20","Blake","looks like a woman in bed and its ok,8,280,20","Jason","Focal point is interesting,2,20,20","4"
"13520","","survey-text","74","3564058","0.0-72.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this is child's play""}","","","","","","","","","","","","","","","","","","","","","","",""
"2988","","image-slider-response","75","3567050","0.0-73.0","A336V7IY38Q2WN","","","","","-16","","","","","","","","","","","","","","","","","","","","","",""
"4789","","image-button-response","76","3572062","0.0-74.0","A336V7IY38Q2WN","img_art/26.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"726","","image-button-response","77","3572790","0.0-75.0","A336V7IY38Q2WN","img_art/26.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3145","","image-button-response","78","3575938","0.0-76.0-0.0","A336V7IY38Q2WN","img_art/26.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5148","","image-button-response","79","3581090","0.0-77.0-0.0","A336V7IY38Q2WN","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","80","3581601","0.0-78.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","5","img_art/26.jpg","-16","this is child's play","Anthony,Isaiah,Blake,Jason,Malik,Derek","This picture doesn't really stand out.,0,200,20","It is very relaxing to look at, almost a relief.,21,300,20","bedroom in the outdoors. warm,9,280,20","The colors look faded and blurry,2,20,20","Feels like still life,-13,40,20","Looks messy and like it was painted by a small child,-48,360,20","Malik","Feels like still life,-13,40,20","Anthony","This picture doesn't really stand out.,0,200,20","Isaiah","It is very relaxing to look at, almost a relief.,21,300,20","4"
"4570","","survey-text","81","3586186","0.0-79.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"20528","","survey-text","82","3606716","0.0-80.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""a drone's eye view. very creative""}","","","","","","","","","","","","","","","","","","","","","","",""
"2244","","image-slider-response","83","3608964","0.0-81.0","A336V7IY38Q2WN","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"2642","","image-button-response","84","3613973","0.0-82.0","A336V7IY38Q2WN","img_art/8.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"964","","image-button-response","85","3614939","0.0-83.0","A336V7IY38Q2WN","img_art/8.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4026","","image-button-response","86","3618967","0.0-84.0-0.0","A336V7IY38Q2WN","img_art/8.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1202","","image-button-response","87","3620172","0.0-85.0-0.0","A336V7IY38Q2WN","img_art/8.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","88","3620682","0.0-86.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","6","img_art/8.jpg","23","a drone's eye view. very creative","Anthony,Isaiah,Jorge,Richard,Malik,Mitchell","Not my favorite but has an interesting concept,32,200,20","It makes me feel nervous. I can't tell ifI'm looking at an apartment, or a hellscape.,-18,300,20","New power in the community,22,180,20","lots going on with great use of lots of color and geometry,24,340,20","Striking, but not my taste,20,40,20","Lost in a big city confuse as to where to go to next. No matter if you live in a mansion or homeless. Being bigger than what is going on around you,30,180,20","Malik","Striking, but not my taste,20,40,20","Jorge","New power in the community,22,180,20","Anthony","Not my favorite but has an interesting concept,32,200,20","4"
"18626","","survey-text","89","3639314","0.0-87.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this is barren solitude. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2073","","image-slider-response","90","3641391","0.0-88.0","A336V7IY38Q2WN","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"3897","","image-button-response","91","3646402","0.0-89.0","A336V7IY38Q2WN","img_art/14.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"646","","image-button-response","92","3647050","0.0-90.0","A336V7IY38Q2WN","img_art/14.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"917","","image-button-response","93","3647971","0.0-91.0-0.0","A336V7IY38Q2WN","img_art/14.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4034","","image-button-response","94","3652006","0.0-92.0-0.0","A336V7IY38Q2WN","img_art/14.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","95","3652511","0.0-93.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","7","img_art/14.jpg","11","this is barren solitude. ","Anthony,Joseph,Jorge,Benjamin,Malik,Cole","This piece is average compared to the others.,1,200,20","I like that it looks like plants on a table, which reminds me of life.,4,220,20","unsure and dull feeling,-1,180,20","Reminds me of the outdoors.,12,260,20","It's alright, something I'd see in a guest bedroom,10,40,20","Simplistic. Looks like a child did it,14,200,20","Benjamin","Reminds me of the outdoors.,12,260,20","Malik","It's alright, something I'd see in a guest bedroom,10,40,20","Jorge","unsure and dull feeling,-1,180,20","4"
"19717","","survey-text","96","3672233","0.0-94.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""I like the theme but not the color scheme""}","","","","","","","","","","","","","","","","","","","","","","",""
"3545","","image-slider-response","97","3675782","0.0-95.0","A336V7IY38Q2WN","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"2213","","image-button-response","98","3680791","0.0-96.0","A336V7IY38Q2WN","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1276","","image-button-response","99","3682069","0.0-97.0","A336V7IY38Q2WN","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"733","","image-button-response","100","3682806","0.0-98.0-0.0","A336V7IY38Q2WN","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"644","","image-button-response","101","3683453","0.0-99.0-0.0","A336V7IY38Q2WN","img_art/6.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","102","3684461","0.0-100.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","8","img_art/6.jpg","6","I like the theme but not the color scheme","Tyler,Kyle,Jorge,Benjamin,Malik,Colton","Is this the villain from Despicable Me?,29,320,20","Simple and clean,11,340,20","seeds of change,11,180,20","Something very simplistic about it. The colors mesh well.,10,260,20","Lonesome in nature,13,40,20","very minimalistic,22,220,20","Benjamin","Something very simplistic about it. The colors mesh well.,10,260,20","Malik","Lonesome in nature,13,40,20","Colton","very minimalistic,22,220,20","4"
"17216","","survey-text","103","3701684","0.0-101.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is disorganized and uninspiring""}","","","","","","","","","","","","","","","","","","","","","","",""
"2149","","image-slider-response","104","3703836","0.0-102.0","A336V7IY38Q2WN","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","105","3708840","0.0-103.0","A336V7IY38Q2WN","img_art/15.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"721","","image-button-response","106","3709561","0.0-104.0","A336V7IY38Q2WN","img_art/15.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1368","","image-button-response","107","3710932","0.0-105.0-0.0","A336V7IY38Q2WN","img_art/15.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1057","","image-button-response","108","3711992","0.0-106.0-0.0","A336V7IY38Q2WN","img_art/15.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","109","3712502","0.0-107.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","9","img_art/15.jpg","-15","this piece is disorganized and uninspiring","Devin,Marcus,Victor,Benjamin,Malik,Colton","Simple but needs some more detail somehow,-3,380,20","Interesting, but don't really like it. Gloomy.,-10,60,20","I like the random blue dabs to break up the black, but it looks unfinished.,4,340,20","Reminds me of blueberry bushes.,7,260,20","I like the dense patterns and the splashes  of blue,38,40,20","it's alright but a little cluttered,14,220,20","Colton","it's alright but a little cluttered,14,220,20","Marcus","Interesting, but don't really like it. Gloomy.,-10,60,20","Devin","Simple but needs some more detail somehow,-3,380,20","4"
"11643","","survey-text","110","3724152","0.0-108.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this is passion""}","","","","","","","","","","","","","","","","","","","","","","",""
"1697","","image-slider-response","111","3725851","0.0-109.0","A336V7IY38Q2WN","","","","","33","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","112","3730862","0.0-110.0","A336V7IY38Q2WN","img_art/4.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"876","","image-button-response","113","3731740","0.0-111.0","A336V7IY38Q2WN","img_art/4.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2188","","image-button-response","114","3733932","0.0-112.0-0.0","A336V7IY38Q2WN","img_art/4.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6577","","image-button-response","115","3740512","0.0-113.0-0.0","A336V7IY38Q2WN","img_art/4.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","116","3742021","0.0-114.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","10","img_art/4.jpg","33","this is passion","Devin,Marcus,Connor,Luis,Alejandro,Colton","Not impressed really,-20,380,20","Really like the colors, but don't like the object/squiggle in darker gold and black,4,60,20","Seems simplistic,-8,240,20","Its just not giving the vibe i should be finding,-31,400,20","Looks like finger nails from the Guinness world record book.,-30,80,20","I really don't like the colors,-26,220,20","Marcus","Really like the colors, but don't like the object/squiggle in darker gold and black,4,60,20","Connor","Seems simplistic,-8,240,20","Colton","I really don't like the colors,-26,220,20","4"
"6000","","survey-text","117","3748035","0.0-115.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""our""}","","","","","","","","","","","","","","","","","","","","","","",""
"46201","","survey-text","118","3794237","0.0-116.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""these are conversations in a crowded theater""}","","","","","","","","","","","","","","","","","","","","","","",""
"2755","","image-slider-response","119","3796997","0.0-117.0","A336V7IY38Q2WN","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"2729","","image-button-response","120","3802000","0.0-118.0","A336V7IY38Q2WN","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"747","","image-button-response","121","3802749","0.0-119.0","A336V7IY38Q2WN","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"814","","image-button-response","122","3803565","0.0-120.0-0.0","A336V7IY38Q2WN","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"964","","image-button-response","123","3804533","0.0-121.0-0.0","A336V7IY38Q2WN","img_art/16.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","124","3805540","0.0-122.0","A336V7IY38Q2WN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","11","img_art/16.jpg","5","these are conversations in a crowded theater","Aaron,Marcus,Connor,Trevor,Eric,Colton","It's edgy but cool,10,20,20","Hate this, especially the jarring contrast of the super realistic teddybear face.,-50,60,20","Not original. Bear is odd,-50,240,20","very creepy with a bear and a gun,-50,280,20","This piece is unusual but unique.,5,100,20","the materials used are interesting,30,220,20","Eric","This piece is unusual but unique.,5,100,20","Aaron","It's edgy but cool,10,20,20","Colton","the materials used are interesting,30,220,20","4"
"16017","","survey-text","125","3821564","0.0-123.0-0.0","A336V7IY38Q2WN","","","","{""Q0"":""this piece is overrated""}","","","","","","","","","","","","","","","","","","","","","","",""
"1704","","image-slider-response","126","3823272","0.0-124.0","A336V7IY38Q2WN","","","","","-21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","127","3828280","0.0-125.0","A336V7IY38Q2WN","img_art/13.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3886","","image-button-response","128","3832168","0.0-126.0","A336V7IY38Q2WN","img_art/13.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3313","","image-button-response","129","3835484","0.0-127.0-0.0","A336V7IY38Q2WN","img_art/13.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
