"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6834","external_page_harvard.html","external-html","0","6916","0.0-0.0","A36QGCT3MMXC4Q","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1699","","image-button-response","1","8619","0.0-1.0","A36QGCT3MMXC4Q","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1624","","image-button-response","2","10258","0.0-2.0-0.0","A36QGCT3MMXC4Q","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6067","","survey-text","3","16329","0.0-3.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""A36QGCT3MMXC4Q""}","","","","","","","","","","","","","","","","","","","","","","",""
"12234","","image-button-response_instructions","4","28569","0.0-4.0","A36QGCT3MMXC4Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13227","","image-button-response_instructions","5","41800","0.0-5.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5831","","image-button-response_instructions","6","47635","0.0-6.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5677","","image-button-response_instructions","7","53315","0.0-7.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9983","","image-button-response_instructions","8","63300","0.0-8.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4761","","image-button-response_instructions","9","68064","0.0-9.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3537","","image-button-response_instructions","10","71603","0.0-10.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1924","","image-button-response_instructions","11","73530","0.0-11.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4428","","image-button-response_instructions","12","77960","0.0-12.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11042","","image-button-response_instructions","13","89005","0.0-13.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11387","","image-button-response_instructions","14","100395","0.0-14.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5382","","image-button-response_instructions","15","105780","0.0-15.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9995","","image-button-response_instructions","16","115777","0.0-16.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4206","","image-button-response_instructions","17","119986","0.0-17.0","A36QGCT3MMXC4Q","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4088","","image-button-response_instructions","18","124076","0.0-18.0","A36QGCT3MMXC4Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5619","","survey-text","19","129776","0.0-19.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"4406","","survey-text","20","134188","0.0-20.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""calming""}","","","","","","","","","","","","","","","","","","","","","","",""
"3497.5","","image-slider-response","21","137695","0.0-21.0","A36QGCT3MMXC4Q","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","142707","0.0-22.0","A36QGCT3MMXC4Q","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5411","","image-button-response","23","148122","0.0-23.0","A36QGCT3MMXC4Q","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5248","","image-button-response","24","153376","0.0-24.0-0.0","A36QGCT3MMXC4Q","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555","","image-button-response","25","154938","0.0-25.0-0.0","A36QGCT3MMXC4Q","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","155958","0.0-26.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","21","calming","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"25935","","survey-text","27","181904","0.0-27.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""textured with a good use of contrasting colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"3193.899999976158","","image-slider-response","28","185104","0.0-28.0","A36QGCT3MMXC4Q","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"4344","","image-button-response","29","190121","0.0-29.0","A36QGCT3MMXC4Q","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"10573","","image-button-response","30","200699","0.0-30.0","A36QGCT3MMXC4Q","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"841","","image-button-response","31","201546","0.0-31.0-0.0","A36QGCT3MMXC4Q","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5491","","image-button-response","32","207042","0.0-32.0-0.0","A36QGCT3MMXC4Q","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","208556","0.0-33.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","21","textured with a good use of contrasting colors","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"17386","","survey-text","34","225952","0.0-34.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""It looks like a flight of birds""}","","","","","","","","","","","","","","","","","","","","","","",""
"2728.199999988079","","image-slider-response","35","228683","0.0-35.0","A36QGCT3MMXC4Q","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","233697","0.0-36.0","A36QGCT3MMXC4Q","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7815","","image-button-response","37","241516","0.0-37.0","A36QGCT3MMXC4Q","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1354","","image-button-response","38","242876","0.0-38.0-0.0","A36QGCT3MMXC4Q","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1343","","image-button-response","39","244224","0.0-39.0-0.0","A36QGCT3MMXC4Q","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"810","","image-button-response","40","248081","0.0-39.1-0.1","A36QGCT3MMXC4Q","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","249091","0.0-40.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","8","It looks like a flight of birds","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","Mary","I like the overlapping of brushes,41,220,20","Leslie","It's an alright work,15,200,20","2"
"6025","","image-button-response_instructions","42","255128","0.0-41.0","A36QGCT3MMXC4Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8905","","survey-likert","43","264039","0.0-42.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":"""",""Q1"":1,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5785","","survey-likert","44","272942","0.0-42.1-0.1","A36QGCT3MMXC4Q","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3233","","survey-text","45","276188","0.0-43.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"16054","","survey-text","46","292247","0.0-44.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""Very intricate i could look at this for a long time""}","","","","","","","","","","","","","","","","","","","","","","",""
"5730.900000035763","","image-slider-response","47","297984","0.0-45.0","A36QGCT3MMXC4Q","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","48","303091","0.0-46.0","A36QGCT3MMXC4Q","img_art/14.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2355","","image-button-response","49","305451","0.0-47.0","A36QGCT3MMXC4Q","img_art/14.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5584","","image-button-response","50","311040","0.0-48.0-0.0","A36QGCT3MMXC4Q","img_art/14.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3256","","image-button-response","51","314301","0.0-49.0-0.0","A36QGCT3MMXC4Q","img_art/14.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","314815","0.0-50.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/14.jpg","20","Very intricate i could look at this for a long time","Tiffany,Grace,Kaitlin,Sierra,Michelle,Hannah","I feel uncomfortable looking at this painting, it is a mess that needs to be cleaned up.,-16,360,20","Like some of the colors but not much else.,1,180,20","this would make a very beautiful art project,22,60,20","it put me on edge.,-11,260,20","Too abstract with annoying little details. Just draw a regular tree already,-6,280,20","This doesn't speak to me on an emotional level,-6,240,20","Kaitlin","this would make a very beautiful art project,22,60,20","Hannah","This doesn't speak to me on an emotional level,-6,240,20","Grace","Like some of the colors but not much else.,1,180,20","3"
"15433","","survey-text","53","330259","0.0-51.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""my first thought is of snakes""}","","","","","","","","","","","","","","","","","","","","","","",""
"3014","","image-slider-response","54","333281","0.0-52.0","A36QGCT3MMXC4Q","","","","","-17","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","55","338298","0.0-53.0","A36QGCT3MMXC4Q","img_art/30.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2861","","image-button-response","56","341162","0.0-54.0","A36QGCT3MMXC4Q","img_art/30.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1668","","image-button-response","57","342836","0.0-55.0-0.0","A36QGCT3MMXC4Q","img_art/30.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2486","","image-button-response","58","345326","0.0-56.0-0.0","A36QGCT3MMXC4Q","img_art/30.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","346840","0.0-57.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","2","img_art/30.jpg","-17","my first thought is of snakes","Alexis,Grace,Kaitlin,Jamie,Catherine,Hannah","Too abstract, looks like something I could paint,-50,100,20","A little too dull. Would've liked brighter colors. Also looks washed out.,1,180,20","the different roads to take in life,10,60,20","Cool design and contrast of colors,30,320,20","connection, Everything is connected even in contrast.,42,160,20","It's just all right.,5,240,20","Grace","A little too dull. Would've liked brighter colors. Also looks washed out.,1,180,20","Hannah","It's just all right.,5,240,20","Alexis","Too abstract, looks like something I could paint,-50,100,20","3"
"16829","","survey-text","60","363678","0.0-58.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""I'm not a fan of the collage""}","","","","","","","","","","","","","","","","","","","","","","",""
"2445.5","","image-slider-response","61","366129","0.0-59.0","A36QGCT3MMXC4Q","","","","","-14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","62","371139","0.0-60.0","A36QGCT3MMXC4Q","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1332","","image-button-response","63","372475","0.0-61.0","A36QGCT3MMXC4Q","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2687","","image-button-response","64","375167","0.0-62.0-0.0","A36QGCT3MMXC4Q","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1855","","image-button-response","65","382769","0.0-62.1-0.1","A36QGCT3MMXC4Q","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4314","","image-button-response","66","387089","0.0-63.0-0.0","A36QGCT3MMXC4Q","img_art/16.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","67","387603","0.0-64.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","3","img_art/16.jpg","-14","I'm not a fan of the collage","Alexis,Grace,Courtney,Kelsey,Brittany,Hannah","Don't like this technique. Too serial killer.,-50,100,20","Something terrible happened. Either the figure on the right is the victim or another shredded toy.,-49,180,20","Hmm i don't know what going on here.,1,280,20","its disturbing! what the heck,-27,240,20","Kind of dull, colors and drawings are not really interesting.,0,40,20","This is weird and a little creepy.,6,240,20","Alexis","Don't like this technique. Too serial killer.,-50,100,20","Brittany","Kind of dull, colors and drawings are not really interesting.,0,40,20","Hannah","This is weird and a little creepy.,6,240,20","5"
"10797","","survey-text","68","398409","0.0-65.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""very dark and disturbing""}","","","","","","","","","","","","","","","","","","","","","","",""
"3828.300000011921","","image-slider-response","69","402245","0.0-66.0","A36QGCT3MMXC4Q","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","70","407264","0.0-67.0","A36QGCT3MMXC4Q","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"613","","image-button-response","71","407880","0.0-68.0","A36QGCT3MMXC4Q","img_art/29.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"626","","image-button-response","72","408512","0.0-69.0-0.0","A36QGCT3MMXC4Q","img_art/29.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1679","","image-button-response","73","410195","0.0-70.0-0.0","A36QGCT3MMXC4Q","img_art/29.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","74","410700","0.0-71.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","4","img_art/29.jpg","-30","very dark and disturbing","Alexis,Bailey,Alyssa,Jasmine,Brittany,Hannah","The black color is great, but I'm really not a fan of this hectic style,-40,100,20","Giant messy blob. Looks like it tries to be edgy, but fails.,-40,360,20","Its interesting although doesnt illicit any strong emotions from me,10,160,20","I like the usage of blacks and greys in this,8,340,20","It looks likes there's a lot going on, but they don't fit together.,2,40,20","I don't like the red X through it.,-20,240,20","Bailey","Giant messy blob. Looks like it tries to be edgy, but fails.,-40,360,20","Hannah","I don't like the red X through it.,-20,240,20","Brittany","It looks likes there's a lot going on, but they don't fit together.,2,40,20","5"
"20754","","survey-text","75","431467","0.0-72.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""looks like an abstract car wreck i like the colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"3729.7999999523163","","image-slider-response","76","435204","0.0-73.0","A36QGCT3MMXC4Q","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","77","440217","0.0-74.0","A36QGCT3MMXC4Q","img_art/20.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1262","","image-button-response","78","441483","0.0-75.0","A36QGCT3MMXC4Q","img_art/20.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"218","","image-button-response","79","441704","0.0-76.0-0.0","A36QGCT3MMXC4Q","img_art/20.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"327","","image-button-response","80","442037","0.0-77.0-0.0","A36QGCT3MMXC4Q","img_art/20.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4344","","image-button-response","81","449076","0.0-77.1-0.1","A36QGCT3MMXC4Q","img_art/20.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","82","449593","0.0-78.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","5","img_art/20.jpg","9","looks like an abstract car wreck i like the colors","Melissa,Bailey,Erica,Gabriela,Brittany,Hannah","feels underdeveloped,-11,240,20","A bit hectic, but it does have a bit of coolness to it,6,360,20","looks like an auto accident,-30,80,20","it is a bit disturbing, like a monster or ghost floating away from a bleak building,-8,140,20","The colors and the scene depicted is interesting.,13,40,20","Reminds me of the Southwest; i.e. New Mexico or Arizona. It's interesting.,12,240,20","Brittany","The colors and the scene depicted is interesting.,13,40,20","Bailey","A bit hectic, but it does have a bit of coolness to it,6,360,20","Hannah","Reminds me of the Southwest; i.e. New Mexico or Arizona. It's interesting.,12,240,20","7"
"4590","","survey-text","83","454207","0.0-79.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"11093","","survey-text","84","465306","0.0-80.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""messy and too abstract""}","","","","","","","","","","","","","","","","","","","","","","",""
"3532.699999988079","","image-slider-response","85","468845","0.0-81.0","A36QGCT3MMXC4Q","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","86","473857","0.0-82.0","A36QGCT3MMXC4Q","img_art/26.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1044","","image-button-response","87","474905","0.0-83.0","A36QGCT3MMXC4Q","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"919","","image-button-response","88","475829","0.0-84.0-0.0","A36QGCT3MMXC4Q","img_art/26.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4337","","image-button-response","89","480171","0.0-85.0-0.0","A36QGCT3MMXC4Q","img_art/26.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","90","480682","0.0-86.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","6","img_art/26.jpg","10","messy and too abstract","Chloe,Bailey,Kayla,Claire,Brittany,Hannah","Not great use of space and brush strokes seem indistinct/accidental,-30,220,20","Too blocky and unfocused. It's like the inside of a house, and the outside.,-24,360,20","Looks like the suburbs. I live in those.,13,180,20","very impressionistic,11,260,20","It looks boring and too rough.,-9,40,20","This is boring.,-15,240,20","Bailey","Too blocky and unfocused. It's like the inside of a house, and the outside.,-24,360,20","Chloe","Not great use of space and brush strokes seem indistinct/accidental,-30,220,20","Brittany","It looks boring and too rough.,-9,40,20","7"
"20598","","survey-text","91","501291","0.0-87.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""I like the orange color""}","","","","","","","","","","","","","","","","","","","","","","",""
"2871","","image-slider-response","92","504169","0.0-88.0","A36QGCT3MMXC4Q","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","93","509184","0.0-89.0","A36QGCT3MMXC4Q","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"642","","image-button-response","94","509831","0.0-90.0","A36QGCT3MMXC4Q","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3486","","image-button-response","95","513321","0.0-91.0-0.0","A36QGCT3MMXC4Q","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1290","","image-button-response","96","514616","0.0-92.0-0.0","A36QGCT3MMXC4Q","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","97","515632","0.0-93.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","7","img_art/6.jpg","7","I like the orange color","Chloe,Bailey,Julia,Mariah,Brittany,Rachel","Cute and evocative,11,220,20","Not my favorite, but I like the empty vibe and the imagination it invokes. A skinny girl with long legs, perhaps, looking over a cliff,9,360,20","this is too simple for me,-34,40,20","Clean and simple, a pleasant resting place for the eyes.,21,140,20","It's alright. I imagined the peach from James and the Giant Peach.,1,40,20","Reminds me of a plant poking through the soil. It reminds me of new life.,31,80,20","Chloe","Cute and evocative,11,220,20","Mariah","Clean and simple, a pleasant resting place for the eyes.,21,140,20","Brittany","It's alright. I imagined the peach from James and the Giant Peach.,1,40,20","7"
"23862","","survey-text","98","539506","0.0-94.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""a like the use of nature in the office setting""}","","","","","","","","","","","","","","","","","","","","","","",""
"3938.7999999523163","","image-slider-response","99","543451","0.0-95.0","A36QGCT3MMXC4Q","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","100","548466","0.0-96.0","A36QGCT3MMXC4Q","img_art/17.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"754","","image-button-response","101","549224","0.0-97.0","A36QGCT3MMXC4Q","img_art/17.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2430","","image-button-response","102","551661","0.0-98.0-0.0","A36QGCT3MMXC4Q","img_art/17.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1283","","image-button-response","103","552949","0.0-99.0-0.0","A36QGCT3MMXC4Q","img_art/17.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","104","553964","0.0-100.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","8","img_art/17.jpg","27","a like the use of nature in the office setting","Chloe,Andrea,Gabrielle,Mariah,Brittany,Mikayla","Pretty but a little cheesy,-10,220,20","A coming storm but I think I would appreciate it more with more contrast.,-12,240,20","nice composition and colors, fairy land,28,160,20","It feels like nature overtaking civilization.,21,140,20","I like the colors and the design.,20,40,20","Doesnt really do anythingb for me.,4,300,20","Brittany","I like the colors and the design.,20,40,20","Andrea","A coming storm but I think I would appreciate it more with more contrast.,-12,240,20","Gabrielle","nice composition and colors, fairy land,28,160,20","7"
"18313","","survey-text","105","572287","0.0-101.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""like the primitive nature""}","","","","","","","","","","","","","","","","","","","","","","",""
"5826.899999976158","","image-slider-response","106","578120","0.0-102.0","A36QGCT3MMXC4Q","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","107","583137","0.0-103.0","A36QGCT3MMXC4Q","img_art/25.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"682","","image-button-response","108","583823","0.0-104.0","A36QGCT3MMXC4Q","img_art/25.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"898","","image-button-response","109","584726","0.0-105.0-0.0","A36QGCT3MMXC4Q","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1620","","image-button-response","110","586350","0.0-106.0-0.0","A36QGCT3MMXC4Q","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","111","587857","0.0-107.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","9","img_art/25.jpg","11","like the primitive nature","Erin,Andrea,Gabrielle,Katherine,Brittany,Cassandra","Looks like glow in the dark halloween decoration,-38,120,20","Looks like Burning Man, dont care for the colors.,-5,240,20","interesting pattern and color choice, kind of unusual,2,160,20","That's pretty awesome. I love the green and black combo, reminds me of one of those cartoon creepy movies,47,120,20","It's a rather intriguing design,12,40,20","I hate the colors and the scene,-46,120,20","Brittany","It's a rather intriguing design,12,40,20","Erin","Looks like glow in the dark halloween decoration,-38,120,20","Gabrielle","interesting pattern and color choice, kind of unusual,2,160,20","7"
"11470","","survey-text","112","599338","0.0-108.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""messy abstract and ugly colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"4879.300000011921","","image-slider-response","113","604223","0.0-109.0","A36QGCT3MMXC4Q","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","114","609242","0.0-110.0","A36QGCT3MMXC4Q","img_art/19.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1957","","image-button-response","115","611203","0.0-111.0","A36QGCT3MMXC4Q","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"9085","","image-button-response","116","620293","0.0-112.0-0.0","A36QGCT3MMXC4Q","img_art/19.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1243","","image-button-response","117","621542","0.0-113.0-0.0","A36QGCT3MMXC4Q","img_art/19.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","118","622060","0.0-114.0","A36QGCT3MMXC4Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","10","img_art/19.jpg","-32","messy abstract and ugly colors","Erin,Natalie,Gabrielle,Taylor,Brittany,Mary","Childish music hall,-20,120,20","the picture gave me anxiety,-38,400,20","not professional looking but not bad either,13,160,20","It reminds me of sitting at a cafe on the side of a river.,45,340,20","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","I interpret an outdoor scene. It's good because it makes me want to look longer.,22,180,20","Brittany","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","Mary","I interpret an outdoor scene. It's good because it makes me want to look longer.,22,180,20","Gabrielle","not professional looking but not bad either,13,160,20","7"
"4767","","survey-text","119","626847","0.0-115.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""our""}","","","","","","","","","","","","","","","","","","","","","","",""
"23472","","survey-text","120","650324","0.0-116.0-0.0","A36QGCT3MMXC4Q","","","","{""Q0"":""I like that creatures are hiding""}","","","","","","","","","","","","","","","","","","","","","","",""
"1716.800000011921","","image-slider-response","121","652047","0.0-117.0","A36QGCT3MMXC4Q","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","122","657059","0.0-118.0","A36QGCT3MMXC4Q","img_art/18.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1458","","image-button-response","123","658520","0.0-119.0","A36QGCT3MMXC4Q","img_art/18.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
