"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4818","external_page_harvard.html","external-html","0","4884","0.0-0.0","A3E65QA8DZX26T","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1222","","image-button-response","1","6108","0.0-1.0","A3E65QA8DZX26T","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2260","","image-button-response","2","8372","0.0-2.0-0.0","A3E65QA8DZX26T","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4038","","survey-text","3","12411","0.0-3.0-0.0","A3E65QA8DZX26T","","","","{""Q0"":""A3E65QA8DZX26T""}","","","","","","","","","","","","","","","","","","","","","","",""
"1919","","image-button-response_instructions","4","14331","0.0-4.0","A3E65QA8DZX26T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3406","","image-button-response_instructions","5","17739","0.0-5.0","A3E65QA8DZX26T","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","","image-button-response_instructions","6","19523","0.0-6.0","A3E65QA8DZX26T","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1318","","image-button-response_instructions","7","20843","0.0-7.0","A3E65QA8DZX26T","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3561","","image-button-response_instructions","8","24405","0.0-8.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1486","","image-button-response_instructions","9","25891","0.0-9.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1423","","image-button-response_instructions","10","27315","0.0-10.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1294","","image-button-response_instructions","11","28611","0.0-11.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2224","","image-button-response_instructions","12","30836","0.0-12.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4415","","image-button-response_instructions","13","35252","0.0-13.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1152","","image-button-response_instructions","14","36404","0.0-14.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"710","","image-button-response_instructions","15","37116","0.0-15.0","A3E65QA8DZX26T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2455","","image-button-response_instructions","16","39572","0.0-16.0","A3E65QA8DZX26T","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"823","","image-button-response_instructions","17","40396","0.0-17.0","A3E65QA8DZX26T","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"630","","image-button-response_instructions","18","41027","0.0-18.0","A3E65QA8DZX26T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2981","","survey-text","19","44027","0.0-19.0-0.0","A3E65QA8DZX26T","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18111","","survey-text","20","62140","0.0-20.0-0.0","A3E65QA8DZX26T","","","","{""Q0"":""Looks like an ice cream truck melted""}","","","","","","","","","","","","","","","","","","","","","","",""
"1846.699999988079","","image-slider-response","21","63988","0.0-21.0","A3E65QA8DZX26T","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","68992","0.0-22.0","A3E65QA8DZX26T","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"500","","image-button-response","23","69493","0.0-23.0","A3E65QA8DZX26T","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2653","","image-button-response","24","72148","0.0-24.0-0.0","A3E65QA8DZX26T","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","","image-button-response","25","73932","0.0-25.0-0.0","A3E65QA8DZX26T","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","75435","0.0-26.0","A3E65QA8DZX26T","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-18","Looks like an ice cream truck melted","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","0"
"12605","","survey-text","27","88043","0.0-27.0-0.0","A3E65QA8DZX26T","","","","{""Q0"":""Looks like rusted industrial equipment""}","","","","","","","","","","","","","","","","","","","","","","",""
"3151.5","","image-slider-response","28","91196","0.0-28.0","A3E65QA8DZX26T","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"3445","","image-button-response","29","96199","0.0-29.0","A3E65QA8DZX26T","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1834","","image-button-response","30","98036","0.0-30.0","A3E65QA8DZX26T","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
