"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8215","external_page_harvard.html","external-html","0","8347","0.0-0.0","A1G5EPLJEGL381","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1675","","image-button-response","1","10024","0.0-1.0","A1G5EPLJEGL381","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6080","","image-button-response","2","16112","0.0-2.0-0.0","A1G5EPLJEGL381","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10477","","survey-text","3","26592","0.0-3.0-0.0","A1G5EPLJEGL381","","","","{""Q0"":""A1G5EPLJEGL381""}","","","","","","","","","","","","","","","","","","","","","","",""
"4557","","image-button-response_instructions","4","31152","0.0-4.0","A1G5EPLJEGL381","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9982","","image-button-response_instructions","5","41136","0.0-5.0","A1G5EPLJEGL381","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3046","","image-button-response_instructions","6","44184","0.0-6.0","A1G5EPLJEGL381","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3135","","image-button-response_instructions","7","47320","0.0-7.0","A1G5EPLJEGL381","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9638","","image-button-response_instructions","8","56960","0.0-8.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7126","","image-button-response_instructions","9","64087","0.0-9.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1535","","image-button-response_instructions","10","65624","0.0-10.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1695","","image-button-response_instructions","11","67320","0.0-11.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2071","","image-button-response_instructions","12","69392","0.0-12.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5383","","image-button-response_instructions","13","74775","0.0-13.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3519","","image-button-response_instructions","14","78296","0.0-14.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2158","","image-button-response_instructions","15","80456","0.0-15.0","A1G5EPLJEGL381","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4199","","image-button-response_instructions","16","84655","0.0-16.0","A1G5EPLJEGL381","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2927","","image-button-response_instructions","17","87583","0.0-17.0","A1G5EPLJEGL381","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1591","","image-button-response_instructions","18","89175","0.0-18.0","A1G5EPLJEGL381","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3542","","survey-text","19","92743","0.0-19.0-0.0","A1G5EPLJEGL381","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"29999","","survey-text","20","122744","0.0-20.0-0.0","A1G5EPLJEGL381","","","","{""Q0"":""Feels like artist couldn't decide what this was.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4669","","image-slider-response","21","127416","0.0-21.0","A1G5EPLJEGL381","","","","","-7","","","","","","","","","","","","","","","","","","","","","",""
"3420","","image-button-response","22","132421","0.0-22.0","A1G5EPLJEGL381","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2448","","image-button-response","23","134873","0.0-23.0","A1G5EPLJEGL381","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"965","","image-button-response","24","135841","0.0-24.0-0.0","A1G5EPLJEGL381","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2180","","image-button-response","25","138024","0.0-25.0-0.0","A1G5EPLJEGL381","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","138527","0.0-26.0","A1G5EPLJEGL381","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-7","Feels like artist couldn't decide what this was.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","0"
"18442","","survey-text","27","156976","0.0-27.0-0.0","A1G5EPLJEGL381","","","","{""Q0"":""Vivid, modern piece that works""}","","","","","","","","","","","","","","","","","","","","","","",""
"2973.900000035763","","image-slider-response","28","159952","0.0-28.0","A1G5EPLJEGL381","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","164955","0.0-29.0","A1G5EPLJEGL381","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3394","","image-button-response","30","168352","0.0-30.0","A1G5EPLJEGL381","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","image-button-response","31","169785","0.0-31.0-0.0","A1G5EPLJEGL381","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2517","","image-button-response","32","172304","0.0-32.0-0.0","A1G5EPLJEGL381","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","172806","0.0-33.0","A1G5EPLJEGL381","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","6","Vivid, modern piece that works","Jenna,Ashley,Katie,Dora,Kara,Jen","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Dora","looks too angry,-50,80,20","Jen","It reminds me of a fireplace,36,120,20","Katie","too much color!,-28,180,20","0"
"10992","","survey-text","34","183807","0.0-34.0-0.0","A1G5EPLJEGL381","","","","{""Q0"":""Blue and peaceful""}","","","","","","","","","","","","","","","","","","","","","","",""
"37389.80000001192","","image-slider-response","35","221199","0.0-35.0","A1G5EPLJEGL381","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","226203","0.0-36.0","A1G5EPLJEGL381","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"789","","image-button-response","37","226996","0.0-37.0","A1G5EPLJEGL381","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","","image-button-response","38","228224","0.0-38.0-0.0","A1G5EPLJEGL381","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"678","","image-button-response","39","228904","0.0-39.0-0.0","A1G5EPLJEGL381","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
