"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10626","external_page_harvard.html","external-html","0","10726","0.0-0.0","ATQJPX3S1JBVY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1457","","image-button-response","1","12185","0.0-1.0","ATQJPX3S1JBVY","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1733","","image-button-response","2","13923","0.0-2.0-0.0","ATQJPX3S1JBVY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7090","","survey-text","3","21016","0.0-3.0-0.0","ATQJPX3S1JBVY","","","","{""Q0"":""ATQJPX3S1JBVY""}","","","","","","","","","","","","","","","","","","","","","","",""
"2836","","image-button-response_instructions","4","23854","0.0-4.0","ATQJPX3S1JBVY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4602","","image-button-response_instructions","5","28457","0.0-5.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2530","","image-button-response_instructions","6","30988","0.0-6.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-button-response_instructions","7","33926","0.0-7.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1894","","image-button-response_instructions","8","35821","0.0-8.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1284","","image-button-response_instructions","9","37107","0.0-9.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1948","","image-button-response_instructions","10","39056","0.0-10.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"800","","image-button-response_instructions","11","39857","0.0-11.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1654","","image-button-response_instructions","12","41513","0.0-12.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6354","","image-button-response_instructions","13","47868","0.0-13.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2224","","image-button-response_instructions","14","50093","0.0-14.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"728","","image-button-response_instructions","15","50823","0.0-15.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2865","","image-button-response_instructions","16","53689","0.0-16.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2316","","image-button-response_instructions","17","56007","0.0-17.0","ATQJPX3S1JBVY","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1393","","image-button-response_instructions","18","57401","0.0-18.0","ATQJPX3S1JBVY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4900","","survey-text","19","62330","0.0-19.0-0.0","ATQJPX3S1JBVY","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"28974","","survey-text","20","91304","0.0-20.0-0.0","ATQJPX3S1JBVY","","","","{""Q0"":""I think it's pretty ugly, overall. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3089.6999999284744","","image-slider-response","21","94397","0.0-21.0","ATQJPX3S1JBVY","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"3312","","image-button-response","22","99401","0.0-22.0","ATQJPX3S1JBVY","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"192","","image-button-response","23","99596","0.0-23.0","ATQJPX3S1JBVY","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3254","","image-button-response","24","102853","0.0-24.0-0.0","ATQJPX3S1JBVY","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3449","","image-button-response","25","106307","0.0-25.0-0.0","ATQJPX3S1JBVY","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","106810","0.0-26.0","ATQJPX3S1JBVY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-28","I think it's pretty ugly, overall. ","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"22360","","survey-text","27","129177","0.0-27.0-0.0","ATQJPX3S1JBVY","","","","{""Q0"":""This reminds me of the art I made in second grade.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2092.5","","image-slider-response","28","131271","0.0-28.0","ATQJPX3S1JBVY","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","136274","0.0-29.0","ATQJPX3S1JBVY","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2685","","image-button-response","30","138964","0.0-30.0","ATQJPX3S1JBVY","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
