"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"381415","external_page_harvard.html","external-html","0","382186","0.0-0.0","A17FYMZVQ56MGG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3383","","image-button-response","1","385605","0.0-1.0","A17FYMZVQ56MGG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4130","","image-button-response","2","389760","0.0-2.0-0.0","A17FYMZVQ56MGG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"17241","","survey-text","3","407013","0.0-3.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""A17FYMZVQ56MGG""}","","","","","","","","","","","","","","","","","","","","","","",""
"128566","","image-button-response_instructions","4","535594","0.0-4.0","A17FYMZVQ56MGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"54298","","image-button-response_instructions","5","589900","0.0-5.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22669","","image-button-response_instructions","6","612576","0.0-6.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7197","","image-button-response_instructions","7","619785","0.0-7.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"55066","","image-button-response_instructions","8","674859","0.0-8.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5723","","image-button-response_instructions","9","680590","0.0-9.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11709","","image-button-response_instructions","10","692307","0.0-10.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6042","","image-button-response_instructions","11","698354","0.0-11.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"51192","","image-button-response_instructions","12","749551","0.0-12.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19218","","image-button-response_instructions","13","768792","0.0-13.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"69047","","image-button-response_instructions","14","837845","0.0-14.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3966","","image-button-response_instructions","15","841818","0.0-15.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15834","","image-button-response_instructions","16","857658","0.0-16.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8660","","image-button-response_instructions","17","866325","0.0-17.0","A17FYMZVQ56MGG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8654","","image-button-response_instructions","18","874991","0.0-18.0","A17FYMZVQ56MGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20739","","survey-text","19","895993","0.0-19.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"42505","","survey-text","20","938508","0.0-20.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks like there was poop thrown on it""}","","","","","","","","","","","","","","","","","","","","","","",""
"9500","","image-slider-response","21","948030","0.0-21.0","A17FYMZVQ56MGG","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","953073","0.0-22.0","A17FYMZVQ56MGG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"19042","","image-button-response","23","972126","0.0-23.0","A17FYMZVQ56MGG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1793","","image-button-response","24","973931","0.0-24.0-0.0","A17FYMZVQ56MGG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2129","","image-button-response","25","976078","0.0-25.0-0.0","A17FYMZVQ56MGG","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","977095","0.0-26.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-40","looks like there was poop thrown on it","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","0"
"46168","","survey-text","27","1023323","0.0-27.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks like a distorted pic og a beer mug""}","","","","","","","","","","","","","","","","","","","","","","",""
"5702.100000143051","","image-slider-response","28","1029038","0.0-28.0","A17FYMZVQ56MGG","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","1034066","0.0-29.0","A17FYMZVQ56MGG","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"43957","","image-button-response","30","1078031","0.0-30.0","A17FYMZVQ56MGG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5029","","image-button-response","31","1083074","0.0-31.0-0.0","A17FYMZVQ56MGG","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"8608","","image-button-response","32","1091698","0.0-32.0-0.0","A17FYMZVQ56MGG","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","1093231","0.0-33.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","26","looks like a distorted pic og a beer mug","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Kara","I like the blocks of color arrangements,30,160,20","Beth","meaningless painting,-45,60,20","Dora","looks too angry,-50,80,20","0"
"63411","","survey-text","34","1156675","0.0-34.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""love the different shades of blue""}","","","","","","","","","","","","","","","","","","","","","","",""
"13102.199999809265","","image-slider-response","35","1169786","0.0-35.0","A17FYMZVQ56MGG","","","","","47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","1174802","0.0-36.0","A17FYMZVQ56MGG","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6604","","image-button-response","37","1181417","0.0-37.0","A17FYMZVQ56MGG","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"10494","","image-button-response","38","1191924","0.0-38.0-0.0","A17FYMZVQ56MGG","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"968","","image-button-response","39","1192906","0.0-39.0-0.0","A17FYMZVQ56MGG","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","1194454","0.0-40.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","47","love the different shades of blue","Mary,Leslie,Beth,Dora,Kara,Rose","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,80,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","Kara","calming blue is very nice,36,160,20","Leslie","It's an alright work,15,200,20","Mary","I like the overlapping of brushes,41,220,20","0"
"9806","","image-button-response_instructions","41","1204308","0.0-41.0","A17FYMZVQ56MGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"37793","","survey-likert","42","1242110","0.0-42.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"9877","","survey-text","43","1252014","0.0-43.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"101984","","survey-text","44","1354007","0.0-44.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""lots of color""}","","","","","","","","","","","","","","","","","","","","","","",""
"16725.400000095367","","image-slider-response","45","1370742","0.0-45.0","A17FYMZVQ56MGG","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","1376004","0.0-46.0","A17FYMZVQ56MGG","img_art/12.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13595","","image-button-response","47","1389609","0.0-47.0","A17FYMZVQ56MGG","img_art/12.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7435","","image-button-response","48","1397056","0.0-48.0-0.0","A17FYMZVQ56MGG","img_art/12.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1664","","image-button-response","49","1398735","0.0-49.0-0.0","A17FYMZVQ56MGG","img_art/12.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","image-button-response","50","1419703","0.0-49.1-0.1","A17FYMZVQ56MGG","img_art/12.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","1420223","0.0-50.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/12.jpg","11","lots of color","Meghan,Nicole,Hailey,Leah,Michaela,Vanessa","I don't like the pattern or color choice,-41,220,20","I like all the squares and the colors but it feels too cluttered to me,20,20,20","negative feelings with these blocks,-20,200,20","Looks like a puzzle I want to put together, but not hang in my den,2,360,20","It looks like old lady upholstery,12,260,20","This is too abstract and the colors are too worn out.,-23,380,20","Leah","Looks like a puzzle I want to put together, but not hang in my den,2,360,20","Vanessa","This is too abstract and the colors are too worn out.,-23,380,20","Nicole","I like all the squares and the colors but it feels too cluttered to me,20,20,20","2"
"32036","","survey-text","52","1452281","0.0-51.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""too distorted to tell what it is""}","","","","","","","","","","","","","","","","","","","","","","",""
"6966.300000190735","","image-slider-response","53","1459261","0.0-52.0","A17FYMZVQ56MGG","","","","","-49","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","1464291","0.0-53.0","A17FYMZVQ56MGG","img_art/26.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"24621","","image-button-response","55","1488919","0.0-54.0","A17FYMZVQ56MGG","img_art/26.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"21557","","image-button-response","56","1510486","0.0-55.0-0.0","A17FYMZVQ56MGG","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"11461","","image-button-response","57","1521958","0.0-56.0-0.0","A17FYMZVQ56MGG","img_art/26.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","1523472","0.0-57.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","2","img_art/26.jpg","-49","too distorted to tell what it is","Paige,Nicole,Elizabeth,Leah,Alyssa,Vanessa","somewhat happy, like being outside on a nice day,30,60,20","It's relaxing to look at but I wish it was just a little more defined,20,20,20","Like the soft blend of colors,26,20,20","Really like it, a very nice neighborhood scene to me,42,360,20","Its pretty.And a nice use of water colors.,25,160,20","Something I'd see in a thrift store. It looks like not much effort was used to paint this.,9,380,20","Vanessa","Something I'd see in a thrift store. It looks like not much effort was used to paint this.,9,380,20","Nicole","It's relaxing to look at but I wish it was just a little more defined,20,20,20","Elizabeth","Like the soft blend of colors,26,20,20","2"
"174105","","survey-text","59","1697601","0.0-58.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""its a bunch of pastel colors slopped on a page""}","","","","","","","","","","","","","","","","","","","","","","",""
"8558","","image-slider-response","60","1706169","0.0-59.0","A17FYMZVQ56MGG","","","","","-48","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","1711181","0.0-60.0","A17FYMZVQ56MGG","img_art/19.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15934","","image-button-response","62","1727127","0.0-61.0","A17FYMZVQ56MGG","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2698","","image-button-response","63","1729837","0.0-62.0-0.0","A17FYMZVQ56MGG","img_art/19.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"12598","","image-button-response","64","1742452","0.0-63.0-0.0","A17FYMZVQ56MGG","img_art/19.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","1743473","0.0-64.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/19.jpg","-48","its a bunch of pastel colors slopped on a page","Kylie,Nicole,Elizabeth,Maria,Brittany,Vanessa","Reminds me of a quaint little town I once visited in Italy,50,300,20","Feels like something I would hang in my dining room,42,20,20","Like the painting strokes,39,20,20","the way the landscape is portrayed captivates me - I enjoy studying the structure,32,120,20","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","Again, this is too abstract.,-10,380,20","Brittany","It looks too much of a rough sketch. Don't really enjoy looking at it.,-9,40,20","Vanessa","Again, this is too abstract.,-10,380,20","Elizabeth","Like the painting strokes,39,20,20","2"
"65503","","survey-text","66","1809000","0.0-65.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""distorted pic of the top of trees in the fall""}","","","","","","","","","","","","","","","","","","","","","","",""
"6241.700000047684","","image-slider-response","67","1815249","0.0-66.0","A17FYMZVQ56MGG","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","68","1820271","0.0-67.0","A17FYMZVQ56MGG","img_art/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"22220","","image-button-response","69","1842505","0.0-68.0","A17FYMZVQ56MGG","img_art/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1367","","image-button-response","70","1843883","0.0-69.0-0.0","A17FYMZVQ56MGG","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1543","","image-button-response","71","1845442","0.0-70.0-0.0","A17FYMZVQ56MGG","img_art/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","72","1846469","0.0-71.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","4","img_art/1.jpg","-50","distorted pic of the top of trees in the fall","Jasmine,Chelsea,Elizabeth,Diana,Brittany,Vanessa","Too similar to some of the other pieces,-18,340,20","The colors are a little too intense.,1,180,20","Absolutely love this painting,50,20,20","Might be a person rowing their boat across the lake. Not sure if the background is trees or not.,12,380,20","It reminds me of a sunset I once saw.,16,40,20","I don't like how this one makes me feel.,-32,380,20","Chelsea","The colors are a little too intense.,1,180,20","Jasmine","Too similar to some of the other pieces,-18,340,20","Diana","Might be a person rowing their boat across the lake. Not sure if the background is trees or not.,12,380,20","2"
"125196","","survey-text","73","1971698","0.0-72.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks unfinished""}","","","","","","","","","","","","","","","","","","","","","","",""
"7006","","image-slider-response","74","1978716","0.0-73.0","A17FYMZVQ56MGG","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","75","1983764","0.0-74.0","A17FYMZVQ56MGG","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"134959","","image-button-response","76","2118733","0.0-75.0","A17FYMZVQ56MGG","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"7972","","image-button-response","77","2126719","0.0-76.0-0.0","A17FYMZVQ56MGG","img_art/16.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"11492","","image-button-response","78","2138228","0.0-77.0-0.0","A17FYMZVQ56MGG","img_art/16.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","79","2139244","0.0-78.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","5","img_art/16.jpg","-50","looks unfinished","Jasmine,Chelsea,Emma,Diana,Makayla,Shannon","I like it because it's quite different from the rest,23,340,20","I wouldn't hang it up on my wall but I like the colors of the bear.,25,180,20","Kind of creepyyyyyy,-41,60,20","This one isn't for me. It came off as strange but not in a good way.,-44,380,20","It's a little unsettling,2,80,20","I think this picture is weird and the colors are very boring.,-50,220,20","Emma","Kind of creepyyyyyy,-41,60,20","Diana","This one isn't for me. It came off as strange but not in a good way.,-44,380,20","Shannon","I think this picture is weird and the colors are very boring.,-50,220,20","2"
"14451","","survey-text","80","2153731","0.0-79.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"44668","","survey-text","81","2198408","0.0-80.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks like a kids finger painting""}","","","","","","","","","","","","","","","","","","","","","","",""
"6132.799999952316","","image-slider-response","82","2204550","0.0-81.0","A17FYMZVQ56MGG","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"2627","","image-button-response","83","2209568","0.0-82.0","A17FYMZVQ56MGG","img_art/4.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2342","","image-button-response","84","2211918","0.0-83.0","A17FYMZVQ56MGG","img_art/4.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"20775","","image-button-response","85","2232706","0.0-84.0-0.0","A17FYMZVQ56MGG","img_art/4.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"7159","","image-button-response","86","2239877","0.0-85.0-0.0","A17FYMZVQ56MGG","img_art/4.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","87","2240393","0.0-86.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","6","img_art/4.jpg","-50","looks like a kids finger painting","Kelsey,Jennifer,Emma,Diana,Taylor,Shannon","this is terrible,-49,240,20","Ugly and bland compared to the other pieces.,-33,380,20","Interesting but maybe a little creepy,0,60,20","Odd but intriguing. I feel emotion from this. Like a woman bent over carrying these emotions on her back.,33,380,20","Reminds me of a first place trophy,30,340,20","I think that this picture is too boring in terms of color and it looks ugly.,-41,220,20","Kelsey","this is terrible,-49,240,20","Shannon","I think that this picture is too boring in terms of color and it looks ugly.,-41,220,20","Jennifer","Ugly and bland compared to the other pieces.,-33,380,20","2"
"59134","","survey-text","88","2299552","0.0-87.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks like a kindergarten painting""}","","","","","","","","","","","","","","","","","","","","","","",""
"6368","","image-slider-response","89","2305928","0.0-88.0","A17FYMZVQ56MGG","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","90","2310946","0.0-89.0","A17FYMZVQ56MGG","img_art/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1972","","image-button-response","91","2312928","0.0-90.0","A17FYMZVQ56MGG","img_art/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"22050","","image-button-response","92","2334986","0.0-91.0-0.0","A17FYMZVQ56MGG","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3058","","image-button-response","93","2338060","0.0-92.0-0.0","A17FYMZVQ56MGG","img_art/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","94","2339087","0.0-93.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","7","img_art/2.jpg","-50","looks like a kindergarten painting","Kelsey,Jennifer,Tiffany,Victoria,Jordan,Shannon","i dont like it, no thank you,-28,240,20","Ugly color scheme,-50,380,20","I feel claustrophobic. I'm looking at a busy shop, but the simple shapes and continuous colors make it hectic.,-8,360,20","I like the colors,22,400,20","I can't get past the fact that it looks like someone wearing a mask,-46,20,20","I like this picture a little because the colors make it look a little vibrant.,10,220,20","Kelsey","i dont like it, no thank you,-28,240,20","Jennifer","Ugly color scheme,-50,380,20","Jordan","I can't get past the fact that it looks like someone wearing a mask,-46,20,20","2"
"89842","","survey-text","95","2428998","0.0-94.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks unfinished""}","","","","","","","","","","","","","","","","","","","","","","",""
"7143.5","","image-slider-response","96","2436152","0.0-95.0","A17FYMZVQ56MGG","","","","","-46","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","97","2441180","0.0-96.0","A17FYMZVQ56MGG","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"18849","","image-button-response","98","2460041","0.0-97.0","A17FYMZVQ56MGG","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"11003","","image-button-response","99","2471054","0.0-98.0-0.0","A17FYMZVQ56MGG","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610","","image-button-response","100","2472677","0.0-99.0-0.0","A17FYMZVQ56MGG","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","101","2473687","0.0-100.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","8","img_art/6.jpg","-46","looks unfinished","Kelsey,Jennifer,Kristen,Amy,Jordan,Bailey","its like a jalapeno,-28,240,20","I am neutral towards this piece.,0,380,20","loneliness, fragile, forever alone, a girl who's been there for eternity, only think tracking time is the length of her hair,9,280,20","Lack of context makes this painting 1-d for me. The headless bird is mysterious and indecipherable.,-10,220,20","This is interesting, I feel solitude, and loneliness from this.,13,20,20","Not my favorite, but I like the empty vibe and the imagination it invokes. A skinny girl with long legs, perhaps, looking over a cliff,9,360,20","Amy","Lack of context makes this painting 1-d for me. The headless bird is mysterious and indecipherable.,-10,220,20","Kelsey","its like a jalapeno,-28,240,20","Jennifer","I am neutral towards this piece.,0,380,20","2"
"138743","","survey-text","102","2612463","0.0-101.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""looks like a close up of a bar of soap with herbs in it""}","","","","","","","","","","","","","","","","","","","","","","",""
"9498.5","","image-slider-response","103","2621972","0.0-102.0","A17FYMZVQ56MGG","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"3450","","image-button-response","104","2626991","0.0-103.0","A17FYMZVQ56MGG","img_art/7.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7046","","image-button-response","105","2634053","0.0-104.0","A17FYMZVQ56MGG","img_art/7.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"11253","","image-button-response","106","2645319","0.0-105.0-0.0","A17FYMZVQ56MGG","img_art/7.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3574","","image-button-response","107","2648903","0.0-106.0-0.0","A17FYMZVQ56MGG","img_art/7.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","108","2650419","0.0-107.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","9","img_art/7.jpg","-25","looks like a close up of a bar of soap with herbs in it","Kelsey,Jennifer,Grace,Amy,Kayla,Isabella","its like oatmeal with granola,-47,240,20","Very, very dull compared to the other paintings,-36,380,20","Makes me itch - looks like a closeup of an ant colony or something.,-1,180,20","Limited emotional reaction for me. No focus and highly abstract,-20,220,20","Dinosaur bones. Death.,-14,180,20","Dessert like almost like dry land,4,280,20","Grace","Makes me itch - looks like a closeup of an ant colony or something.,-1,180,20","Isabella","Dessert like almost like dry land,4,280,20","Kelsey","its like oatmeal with granola,-47,240,20","2"
"31407","","survey-text","109","2681864","0.0-108.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""chinese writing?""}","","","","","","","","","","","","","","","","","","","","","","",""
"18116.799999952316","","image-slider-response","110","2699998","0.0-109.0","A17FYMZVQ56MGG","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","111","2705037","0.0-110.0","A17FYMZVQ56MGG","img_art/30.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"81992","","image-button-response","112","2787037","0.0-111.0","A17FYMZVQ56MGG","img_art/30.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"16819","","image-button-response","113","2803865","0.0-112.0-0.0","A17FYMZVQ56MGG","img_art/30.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1945","","image-button-response","114","2805825","0.0-113.0-0.0","A17FYMZVQ56MGG","img_art/30.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","115","2807343","0.0-114.0","A17FYMZVQ56MGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","10","img_art/30.jpg","-50","chinese writing?","Kelsey,Sierra,Grace,Leslie,Olivia,Isabella","dont like this much at all,-30,240,20","i dont like how the colors are mixed,-6,260,20","A little too dull. Would've liked brighter colors. Also looks washed out.,1,180,20","The brush strokes are appealing, and make me want to look at this longer.,11,380,20","perceiving greatness,20,40,20","I like the back but the red lines in the front distress me,-7,280,20","Kelsey","dont like this much at all,-30,240,20","Sierra","i dont like how the colors are mixed,-6,260,20","Grace","A little too dull. Would've liked brighter colors. Also looks washed out.,1,180,20","2"
"6161","","survey-text","116","2813543","0.0-115.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""our""}","","","","","","","","","","","","","","","","","","","","","","",""
"29292","","survey-text","117","2842842","0.0-116.0-0.0","A17FYMZVQ56MGG","","","","{""Q0"":""this actually looks pretty cool""}","","","","","","","","","","","","","","","","","","","","","","",""
"6314.200000047684","","image-slider-response","118","2849168","0.0-117.0","A17FYMZVQ56MGG","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","119","2854185","0.0-118.0","A17FYMZVQ56MGG","img_art/25.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"25292","","image-button-response","120","2879499","0.0-119.0","A17FYMZVQ56MGG","img_art/25.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1355","","image-button-response","121","2880864","0.0-120.0-0.0","A17FYMZVQ56MGG","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6733","","image-button-response","122","2887608","0.0-121.0-0.0","A17FYMZVQ56MGG","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
