"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6389","external_page_harvard.html","external-html","0","6538","0.0-0.0","A6OBT1RD68EMZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2136","","image-button-response","1","8680","0.0-1.0","A6OBT1RD68EMZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3362","","image-button-response","2","12051","0.0-2.0-0.0","A6OBT1RD68EMZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15625","","survey-text","3","27681","0.0-3.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""A6OBT1RD68EMZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"8594","","image-button-response_instructions","4","36280","0.0-4.0","A6OBT1RD68EMZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17305","","image-button-response_instructions","5","53590","0.0-5.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8337","","image-button-response_instructions","6","61930","0.0-6.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6115","","image-button-response_instructions","7","68052","0.0-7.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21597","","image-button-response_instructions","8","89651","0.0-8.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4347","","image-button-response_instructions","9","94004","0.0-9.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6925","","image-button-response_instructions","10","100933","0.0-10.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5691","","image-button-response_instructions","11","106629","0.0-11.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8271","","image-button-response_instructions","12","114905","0.0-12.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12536","","image-button-response_instructions","13","127445","0.0-13.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9596","","image-button-response_instructions","14","137046","0.0-14.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7229","","image-button-response_instructions","15","144278","0.0-15.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9594","","image-button-response_instructions","16","153873","0.0-16.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6227","","image-button-response_instructions","17","160102","0.0-17.0","A6OBT1RD68EMZ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2732","","image-button-response_instructions","18","162838","0.0-18.0","A6OBT1RD68EMZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7524","","survey-text","19","170390","0.0-19.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14730","","survey-text","20","185123","0.0-20.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""This doesn't make sense to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"9282","","image-slider-response","21","194417","0.0-21.0","A6OBT1RD68EMZ","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","199422","0.0-22.0","A6OBT1RD68EMZ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"216","","image-button-response","23","199641","0.0-23.0","A6OBT1RD68EMZ","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10245","","image-button-response","24","209890","0.0-24.0-0.0","A6OBT1RD68EMZ","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","","image-button-response","25","211855","0.0-25.0-0.0","A6OBT1RD68EMZ","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","212862","0.0-26.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-40","This doesn't make sense to me","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Beth","This color reminds me of poo,-46,60,20","0"
"26687","","survey-text","27","239567","0.0-27.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Interesting but just not my cup of tea""}","","","","","","","","","","","","","","","","","","","","","","",""
"3832","","image-slider-response","28","243404","0.0-28.0","A6OBT1RD68EMZ","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","248410","0.0-29.0","A6OBT1RD68EMZ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1742","","image-button-response","30","250156","0.0-30.0","A6OBT1RD68EMZ","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","","image-button-response","31","251694","0.0-31.0-0.0","A6OBT1RD68EMZ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2491","","image-button-response","32","254190","0.0-32.0-0.0","A6OBT1RD68EMZ","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","254695","0.0-33.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-42","Interesting but just not my cup of tea","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Beth","meaningless painting,-45,60,20","Ashley","Idk, it is just annoying,-32,40,20","Dora","looks too angry,-50,80,20","0"
"24537","","survey-text","34","279244","0.0-34.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""I like the different shades of blue. It's soothing""}","","","","","","","","","","","","","","","","","","","","","","",""
"3074","","image-slider-response","35","282322","0.0-35.0","A6OBT1RD68EMZ","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","287327","0.0-36.0","A6OBT1RD68EMZ","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"771","","image-button-response","37","288102","0.0-37.0","A6OBT1RD68EMZ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3369","","image-button-response","38","291474","0.0-38.0-0.0","A6OBT1RD68EMZ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4369","","image-button-response","39","295848","0.0-39.0-0.0","A6OBT1RD68EMZ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6350","","image-button-response","40","305970","0.0-39.1-0.1","A6OBT1RD68EMZ","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","306974","0.0-40.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","19","I like the different shades of blue. It's soothing","Leslie,Ashley,Beth,Dora,Mary,Rose","It's an alright work,15,200,20","It looks like a playground for bats,-36,40,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Leslie","It's an alright work,15,200,20","Mary","I like the overlapping of brushes,41,220,20","Beth","This thing gives me anxiety,-41,60,20","2"
"8052","","image-button-response_instructions","42","315038","0.0-41.0","A6OBT1RD68EMZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11748","","survey-likert","43","326791","0.0-42.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5806","","survey-text","44","332605","0.0-43.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"20517","","survey-text","45","353125","0.0-44.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Interesting. Kind of to busy though""}","","","","","","","","","","","","","","","","","","","","","","",""
"4271","","image-slider-response","46","357400","0.0-45.0","A6OBT1RD68EMZ","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","362445","0.0-46.0","A6OBT1RD68EMZ","img_art/23.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2598","","image-button-response","48","365044","0.0-47.0","A6OBT1RD68EMZ","img_art/23.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2515","","image-button-response","49","367563","0.0-48.0-0.0","A6OBT1RD68EMZ","img_art/23.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2254","","image-button-response","50","369822","0.0-49.0-0.0","A6OBT1RD68EMZ","img_art/23.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","371327","0.0-50.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/23.jpg","-18","Interesting. Kind of to busy though","Kelly,Kathryn,Cheyenne,Chloe,Kaylee,Kaitlin","Love this. I love the white, really pops with the colors surrounding it.,44,220,20","I feel positive community and comfort. Singing along at a concert, united with a bunch of strangers through shared joy.,20,140,20","Solid colors but the white throws it off for me.,4,200,20","Poster shop camp.,-40,220,20","i completely dont get it,-47,200,20","i cannot breath in this,-10,60,20","Chloe","Poster shop camp.,-40,220,20","Kaylee","i completely dont get it,-47,200,20","Kaitlin","i cannot breath in this,-10,60,20","2"
"13338","","survey-text","52","384675","0.0-51.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Spooky""}","","","","","","","","","","","","","","","","","","","","","","",""
"4085","","image-slider-response","53","388763","0.0-52.0","A6OBT1RD68EMZ","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","393767","0.0-53.0","A6OBT1RD68EMZ","img_art/8.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3462","","image-button-response","55","397231","0.0-54.0","A6OBT1RD68EMZ","img_art/8.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10023","","image-button-response","56","407257","0.0-55.0-0.0","A6OBT1RD68EMZ","img_art/8.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","image-button-response","57","409239","0.0-56.0-0.0","A6OBT1RD68EMZ","img_art/8.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","410242","0.0-57.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/8.jpg","-36","Spooky","Diana,Cassidy,Sabrina,Chloe,Kaylee,Kaitlin","I don't care for the piece, but I appreciate the talent that it took to create it.,22,380,20","I like the colors,10,140,20","I love the expressiveness of this,50,120,20","Cheesy. A little too knock you over the dead with its message without making it emotional,-31,220,20","beautiful buildings,32,200,20","wow - the colors were very well mixed,12,60,20","Chloe","Cheesy. A little too knock you over the dead with its message without making it emotional,-31,220,20","Diana","I don't care for the piece, but I appreciate the talent that it took to create it.,22,380,20","Cassidy","I like the colors,10,140,20","2"
"38039","","survey-text","59","448293","0.0-58.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""I like the mix of colors. Very vibrant""}","","","","","","","","","","","","","","","","","","","","","","",""
"4377","","image-slider-response","60","452675","0.0-59.0","A6OBT1RD68EMZ","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"1946","","image-button-response","61","457680","0.0-60.0","A6OBT1RD68EMZ","img_art/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"881","","image-button-response","62","458563","0.0-61.0","A6OBT1RD68EMZ","img_art/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3260","","image-button-response","63","461826","0.0-62.0-0.0","A6OBT1RD68EMZ","img_art/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5869","","image-button-response","64","467699","0.0-63.0-0.0","A6OBT1RD68EMZ","img_art/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","468703","0.0-64.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/1.jpg","20","I like the mix of colors. Very vibrant","Diana,Cassidy,Brianna,Chloe,Abigail,Laura","Might be a person rowing their boat across the lake. Not sure if the background is trees or not.,12,380,20","I like the colors and layers,25,140,20","It's very colorful, and I like it,11,20,20","Powerful colors.,31,220,20","I like the warmth of the picture,21,20,20","soft and touchable, muddled,15,320,20","Laura","soft and touchable, muddled,15,320,20","Cassidy","I like the colors and layers,25,140,20","Brianna","It's very colorful, and I like it,11,20,20","2"
"38577","","survey-text","66","507291","0.0-65.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""There is a lot going on in this. I could look at it for hours""}","","","","","","","","","","","","","","","","","","","","","","",""
"2560","","image-slider-response","67","509855","0.0-66.0","A6OBT1RD68EMZ","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","68","514860","0.0-67.0","A6OBT1RD68EMZ","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2731","","image-button-response","69","517593","0.0-68.0","A6OBT1RD68EMZ","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3578","","image-button-response","70","521176","0.0-69.0-0.0","A6OBT1RD68EMZ","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"8743","","image-button-response","71","529923","0.0-70.0-0.0","A6OBT1RD68EMZ","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","72","530426","0.0-71.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","4","img_art/27.jpg","40","There is a lot going on in this. I could look at it for hours","Amanda,Cassidy,Brianna,Alexandra,Haley,Laura","I love the childish aspect to it,37,180,20","doesn't look like any effort was put into this piece.,-19,140,20","This painting is very unique,21,20,20","This is ugly and looks like a child did this,-36,60,20","First thought is again, that this looks like a child's art assignment,-20,220,20","feels like a bar scene, tucked away in the corner of a small town,-40,320,20","Amanda","I love the childish aspect to it,37,180,20","Brianna","This painting is very unique,21,20,20","Cassidy","doesn't look like any effort was put into this piece.,-19,140,20","2"
"32925","","survey-text","73","563362","0.0-72.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Very simplistic yet artful""}","","","","","","","","","","","","","","","","","","","","","","",""
"2821","","image-slider-response","74","566188","0.0-73.0","A6OBT1RD68EMZ","","","","","49","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","75","571190","0.0-74.0","A6OBT1RD68EMZ","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2352","","image-button-response","76","573544","0.0-75.0","A6OBT1RD68EMZ","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3889","","image-button-response","77","577436","0.0-76.0-0.0","A6OBT1RD68EMZ","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2140","","image-button-response","78","579580","0.0-77.0-0.0","A6OBT1RD68EMZ","img_art/6.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","79","581084","0.0-78.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","5","img_art/6.jpg","49","Very simplistic yet artful","Amanda,Cassidy,Brianna,Katelyn,Brittany,Madeline","Makes me feel lonely,-22,180,20","The background on the upper half is nice. I also like the contrast of the top and bottom halves,5,140,20","Nice desert scene,10,20,20","Nothing grabs at me here,-11,100,20","It's alright. I imagined the peach from James and the Giant Peach.,1,40,20","Looks a bit like a pickle or something?,-16,40,20","Amanda","Makes me feel lonely,-22,180,20","Cassidy","The background on the upper half is nice. I also like the contrast of the top and bottom halves,5,140,20","Brianna","Nice desert scene,10,20,20","2"
"5801","","survey-text","80","586900","0.0-79.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"17907","","survey-text","81","604809","0.0-80.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Interesting take on a guitar. Like it""}","","","","","","","","","","","","","","","","","","","","","","",""
"2902","","image-slider-response","82","607716","0.0-81.0","A6OBT1RD68EMZ","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","83","612720","0.0-82.0","A6OBT1RD68EMZ","img_art/10.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1343","","image-button-response","84","614066","0.0-83.0","A6OBT1RD68EMZ","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8901","","image-button-response","85","622970","0.0-84.0-0.0","A6OBT1RD68EMZ","img_art/10.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2714","","image-button-response","86","625689","0.0-85.0-0.0","A6OBT1RD68EMZ","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","87","627189","0.0-86.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","6","img_art/10.jpg","50","Interesting take on a guitar. Like it","Amanda,Cassidy,Brianna,Meghan,Makayla,Alexa","Reminds me of a beautiful ship wreck,36,180,20","Looks like someone just smeared some paint and called it good. Do not like.,-6,140,20","I have no opinions on this one,0,20,20","kind of reminds me of a map,1,220,20","I don't hate but don't like it because it looks like a oil slick,2,80,20","Cute and has a vintage feel to it,45,40,20","Alexa","Cute and has a vintage feel to it,45,40,20","Amanda","Reminds me of a beautiful ship wreck,36,180,20","Meghan","kind of reminds me of a map,1,220,20","2"
"41074","","survey-text","88","668271","0.0-87.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Very colorful view of everyday life""}","","","","","","","","","","","","","","","","","","","","","","",""
"2160","","image-slider-response","89","670436","0.0-88.0","A6OBT1RD68EMZ","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"3984","","image-button-response","90","675440","0.0-89.0","A6OBT1RD68EMZ","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1652","","image-button-response","91","677096","0.0-90.0","A6OBT1RD68EMZ","img_art/19.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4059","","image-button-response","92","681160","0.0-91.0-0.0","A6OBT1RD68EMZ","img_art/19.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3110","","image-button-response","93","684275","0.0-92.0-0.0","A6OBT1RD68EMZ","img_art/19.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","94","685776","0.0-93.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","7","img_art/19.jpg","21","Very colorful view of everyday life","Amanda,Rachel,Sydney,Meghan,Angelica,Alexa","Its just a nice painting, nothing too special but nothing negative,25,180,20","Reminds me of a busy town. Chaotic in nature.,-11,80,20","I like the color and the mix of sketches along with paint.,30,320,20","looks like a shopping center,20,220,20","This is like an ugly version of a Basquiat.,-24,280,20","It has a chaotic energy about it that draws me in,40,40,20","Meghan","looks like a shopping center,20,220,20","Alexa","It has a chaotic energy about it that draws me in,40,40,20","Rachel","Reminds me of a busy town. Chaotic in nature.,-11,80,20","2"
"15916","","survey-text","95","701696","0.0-94.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Nice shades of color""}","","","","","","","","","","","","","","","","","","","","","","",""
"2319","","image-slider-response","96","704020","0.0-95.0","A6OBT1RD68EMZ","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"1835","","image-button-response","97","709025","0.0-96.0","A6OBT1RD68EMZ","img_art/22.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"852","","image-button-response","98","709879","0.0-97.0","A6OBT1RD68EMZ","img_art/22.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922","","image-button-response","99","711805","0.0-98.0-0.0","A6OBT1RD68EMZ","img_art/22.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1541","","image-button-response","100","713352","0.0-99.0-0.0","A6OBT1RD68EMZ","img_art/22.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","101","713856","0.0-100.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","8","img_art/22.jpg","13","Nice shades of color","Megan,Rachel,Christina,Meghan,Mackenzie,Alexa","Organic sun spot on a flexible grid,18,200,20","I like the vivid colors.,11,80,20","i like the colors but it looks too 80s for me,7,240,20","really beautiful colors and contrast,30,220,20","Different shapes within the image make it interesting to look at,20,20,20","Really pretty. Love the colors.,30,40,20","Mackenzie","Different shapes within the image make it interesting to look at,20,20,20","Alexa","Really pretty. Love the colors.,30,40,20","Christina","i like the colors but it looks too 80s for me,7,240,20","2"
"22561","","survey-text","102","736424","0.0-101.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""The horseman of death?""}","","","","","","","","","","","","","","","","","","","","","","",""
"1947","","image-slider-response","103","738376","0.0-102.0","A6OBT1RD68EMZ","","","","","-21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","104","743380","0.0-103.0","A6OBT1RD68EMZ","img_art/18.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3732","","image-button-response","105","747115","0.0-104.0","A6OBT1RD68EMZ","img_art/18.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3773","","image-button-response","106","750890","0.0-105.0-0.0","A6OBT1RD68EMZ","img_art/18.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5052","","image-button-response","107","755948","0.0-106.0-0.0","A6OBT1RD68EMZ","img_art/18.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","108","756452","0.0-107.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","9","img_art/18.jpg","-21","The horseman of death?","Natalie,Dominique,Christina,Samantha,Mackenzie,Alexa","my response to the picture is a little bit of anxiety but I like the detail,16,400,20","Very conversational and can see many different looks and feels from this .,34,400,20","it looks dreary and not uplifting,-10,240,20","Id love to see this piece closer. So much extra details hidden it it.,50,140,20","The shapes are very fun to interpret,30,20,20","Very wild and abstract. I love it and would definitely hang this up in my home,50,40,20","Natalie","my response to the picture is a little bit of anxiety but I like the detail,16,400,20","Christina","it looks dreary and not uplifting,-10,240,20","Alexa","Very wild and abstract. I love it and would definitely hang this up in my home,50,40,20","2"
"21386","","survey-text","109","777851","0.0-108.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Beautiful. A watefall in motion. Would hang in my bedroom""}","","","","","","","","","","","","","","","","","","","","","","",""
"2600","","image-slider-response","110","780455","0.0-109.0","A6OBT1RD68EMZ","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","111","785460","0.0-110.0","A6OBT1RD68EMZ","img_art/13.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1091","","image-button-response","112","786553","0.0-111.0","A6OBT1RD68EMZ","img_art/13.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1858","","image-button-response","113","788413","0.0-112.0-0.0","A6OBT1RD68EMZ","img_art/13.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4313","","image-button-response","114","792731","0.0-113.0-0.0","A6OBT1RD68EMZ","img_art/13.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","115","794234","0.0-114.0","A6OBT1RD68EMZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","10","img_art/13.jpg","50","Beautiful. A watefall in motion. Would hang in my bedroom","Natalie,Alicia,Christina,Erica,Rebecca,Alexa","I like the colors,7,400,20","meh, 80's. retro,-9,120,20","i like the colors but it looks like something that would hang in a hotel,18,240,20","Messy but organised, helps me to relax and observe,8,80,20","love the style but not very novel,9,100,20","This looks like a staple bedroom or bathroom piece,41,40,20","Alexa","This looks like a staple bedroom or bathroom piece,41,40,20","Natalie","I like the colors,7,400,20","Erica","Messy but organised, helps me to relax and observe,8,80,20","2"
"4505","","survey-text","116","798751","0.0-115.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""our""}","","","","","","","","","","","","","","","","","","","","","","",""
"45569","","survey-text","117","844323","0.0-116.0-0.0","A6OBT1RD68EMZ","","","","{""Q0"":""Simple but intriguing. Nice conversation piece""}","","","","","","","","","","","","","","","","","","","","","","",""
"3540","","image-slider-response","118","847867","0.0-117.0","A6OBT1RD68EMZ","","","","","36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","119","852871","0.0-118.0","A6OBT1RD68EMZ","img_art/25.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"588","","image-button-response","120","853461","0.0-119.0","A6OBT1RD68EMZ","img_art/25.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6119","","image-button-response","121","859584","0.0-120.0-0.0","A6OBT1RD68EMZ","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1908","","image-button-response","122","861495","0.0-121.0-0.0","A6OBT1RD68EMZ","img_art/25.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
